Model,Split,Metric,n_samples,point_estimate,mean,std,ci_lower,ci_upper,Code
last,Test,MSE,19550,0.05169664202742836,0.05184484323697917,0.0016444041740064773,0.048349084796935234,0.05496673175558124,15
last,Test,MAE,17647,23.181305604352016,23.17783532611775,0.22999043026964566,22.742052473508245,23.623723579078597,16
last,Test,MAPE,17647,20.27749226733206,20.257771322383032,0.2093342049139739,19.894222512310687,20.67196450994498,16
last,Test,R2,17647,0.11616278772478617,0.11514269834052898,0.01719309972626772,0.08013322077744978,0.14530274277616706,16
last,Test,MSE,17647,1262.580679435598,1260.7910112200373,21.601898694924607,1218.342949934833,1303.7075986711623,16
last,Test,MAE,3136,0.5168845665698149,0.516801179755403,0.012487607890535707,0.4954181260068198,0.5416868604567586,17
last,Test,MAPE,3136,7.419230897794963,7.407038200483739,0.14807058651305038,7.112129471045073,7.662873677618749,17
last,Test,R2,3136,0.5844199600559593,0.5847605439757056,0.022708468332336605,0.5446254448683905,0.6273727990616379,17
last,Test,MSE,3136,0.72242746206576,0.723008083589216,0.03965628944861392,0.6431254270008888,0.8086040662033439,17
last,Test,MAE,14560,0.36312843436723224,0.3629175135503104,0.0029966505584501147,0.35758593608144223,0.3696067983943683,18
last,Test,MAPE,14560,4.081643152809909,4.086796237246896,0.0347608884689733,4.027055827255549,4.163162140946841,18
last,Test,R2,14560,0.48823075540118244,0.48648911970078496,0.010163723431382011,0.4638383014151063,0.5056958981709995,18
last,Test,MSE,14560,0.2629362966832247,0.2628053316635506,0.005522709488071672,0.2521622182012622,0.2749184460936375,18
last,Test,MAE,9632,9.029017857142858,9.024637147009965,0.12866815473111443,8.776949231727576,9.251270504568106,19
last,Test,MAPE,9632,37.26829605686632,37.232188885606,0.6520029630473922,35.932636254674094,38.52955513310606,19
last,Test,R2,9632,0.3937119619334807,0.395028776805706,0.020873356911597845,0.3492013859238596,0.43055521828665877,19
last,Test,MSE,9632,246.98668500830564,245.9888462936046,8.326357083404769,228.77961936773255,262.5813531717193,19
last,Test,MAE,75,25.44,25.972666666666665,4.839314260722192,16.39,35.862333333333325,20
last,Test,MAPE,75,36.45499590643125,36.366573060339164,7.558404986742009,24.49618211571016,54.47583369267853,20
last,Test,R2,75,0.734463163937688,0.7089217581845437,0.14343001092043003,0.41251051821360935,0.8931823278285033,20
last,Test,MSE,75,2296.1866666666665,2082.3064,895.8397799810863,796.2046666666666,3955.585999999995,20
last,Test,MAE,9381,8.653022065877838,8.650112461358065,0.1182847170687073,8.418620083146786,8.829967487474683,21
last,Test,MAPE,9381,29.200397346620278,29.224406724491786,0.40394533061066434,28.404596451074376,30.010424234108893,21
last,Test,R2,9381,0.45507609276407834,0.4531277173837849,0.017106280180081535,0.4189543054027354,0.482861000636269,21
last,Test,MSE,9381,223.9165334186121,225.2097089862488,8.208271151845548,212.66897252425113,241.89139617311588,21
last,Test,MAE,2231,54.131779471089196,54.10307037203048,1.5378448652707222,51.07368892873151,56.95004482294935,22
last,Test,MAPE,2231,19.66397789417413,19.745161459949884,0.5391829810614942,18.760796529617412,20.661818547895308,22
last,Test,R2,2231,0.5858134417434928,0.5878124661719306,0.026849441848461206,0.5400502133441927,0.6396842149804949,22
last,Test,MSE,2231,7975.548184670552,7983.119910354101,588.1127274916214,7014.757339757956,9206.747523532047,22
last,Test,MAE,7690,2.3822951881101133,2.37731475887373,0.0503419465155707,2.2766210986330853,2.4722421893558826,23
last,Test,MAPE,7690,12.878291495680555,12.888500795411973,0.24084668316235758,12.480756816638767,13.421012081929863,23
last,Test,R2,7690,0.5519591866770686,0.5510847751896703,0.01605023768796893,0.5221402719453055,0.5770965409050857,23
last,Test,MSE,7690,19.883144676084864,19.766838251803748,0.7266371769592475,18.543211129490892,21.05258219491218,23
last,Test,MAE,7973,19.67182992600025,19.706463062837074,0.32523002366135517,19.095222939922238,20.37331305656591,24
last,Test,MAPE,7973,17.961635662507323,17.981649611625002,0.2712488687556595,17.42839494234326,18.502978525172427,24
last,Test,R2,7973,0.6710713186326496,0.6721120751008018,0.01250560231890203,0.6477021162866113,0.6956164432783791,24
last,Test,MSE,7973,1191.2577762448263,1186.2503320581964,51.83285662900006,1093.0958249717796,1297.921861281826,24
last,Test,MAE,7171,0.19183516872883374,0.19165095448459674,0.003419792001871542,0.18495589788821828,0.19777401962189342,25
last,Test,MAPE,7171,33.47778117044919,33.52604933294021,0.5974286584564729,32.34820230096455,34.58825553485836,25
last,Test,R2,7171,0.6519009694302278,0.6520639889233665,0.013264502051673089,0.6266910996006654,0.6760513725228567,25
last,Test,MSE,7171,0.10899212054113536,0.10858221255598828,0.004999364214500177,0.09915387478460183,0.1176145671612161,25
last,Test,MAE,501,0.24926147566822,0.25107185499292767,0.019696983097599912,0.21618712496034756,0.28871008080435906,26
last,Test,MAPE,501,45.514902901257955,45.92409538538504,8.042461127055445,33.46022128458974,62.0839089804986,26
last,Test,R2,501,0.568986612647602,0.5682567502049757,0.058186445032754275,0.44381544912993565,0.6853575265612779,26
last,Test,MSE,501,0.29767744070905516,0.29285370017369083,0.04673502014805513,0.21197526561534993,0.37584294847031574,26
last,Test,MAE,5225,0.3227177036321905,0.32336516773461155,0.0049718170184651885,0.31354808699343195,0.3309122008421775,27
last,Test,MAPE,5225,9.487450671980383,9.484590624898157,0.17188127462018735,9.160580728511947,9.806979012029172,27
last,Test,R2,5225,0.6845175838167923,0.6837741916867844,0.013428117556633737,0.6535359183075562,0.7057169884738802,27
last,Test,MSE,5225,0.2276334922991507,0.22737391808122204,0.008180015110456495,0.21411872147306635,0.24300180447815475,27
last,Test,MAE,1445,0.4204498196968158,0.4195747334486885,0.011476412465695402,0.3999584731882419,0.44405276151264417,28
last,Test,MAPE,1445,6.3309970115717835,6.332546974166223,0.17407430685706635,6.042901134116737,6.668505208722178,28
last,Test,R2,1445,0.5100902843273245,0.5109441124094846,0.037880543491865946,0.4313469062769951,0.5821605975000846,28
last,Test,MSE,1445,0.3599671197251477,0.3621082262736551,0.02685325206949408,0.3137320854913406,0.40663079122593904,28
last,Test,MAE,1151,8.68923545973157,8.686545799379564,0.49815592608261766,7.803986092799098,9.57893010739635,29
last,Test,MAPE,1151,216.63850357436334,214.76559201859655,26.028413804485318,172.35261543518823,260.61676965041585,29
last,Test,R2,1151,-0.08030082566580532,-0.10348312372993823,0.12037409385145036,-0.34849131551921037,0.1442299448797071,29
last,Test,MSE,1151,326.47208614353065,327.5527257585725,33.79674669258646,274.2049657777059,403.0384641780614,29
last,Test,MAE,3956,24.188574317492417,24.224943124368046,0.4589667000003282,23.327300303336703,24.98348710819009,30
last,Test,MAPE,3956,14.487245971227816,14.45385502114439,0.2663249240445931,13.977975529064471,15.006451248710707,30
last,Test,R2,3956,0.41591327288995195,0.41332272518330476,0.026565222528869722,0.3618543153763008,0.4607611856319663,30
last,Test,MSE,3956,1215.0441102123357,1210.596533114257,44.509459649186354,1129.9220250884732,1290.224527616279,30
last,Test,MAE,3880,7.030798969072165,7.034103092783506,0.11722382384520189,6.832789948453608,7.226485180412371,31
last,Test,MAPE,3880,13.28133090551952,13.322657625714207,0.23207562848824664,12.905192562994413,13.763309261590193,31
last,Test,R2,3880,0.6894764709733091,0.691041167914286,0.012733417779671258,0.6675218948636725,0.7184795247002225,31
last,Test,MSE,3880,100.74542525773195,100.70940721649482,3.8051499940147777,94.29887081185568,110.61446037371132,31
last,Test,MAE,3818,20.851492928234677,20.855171555788367,0.35467107487942723,20.237421424829755,21.571542692509166,32
last,Test,MAPE,3818,26.470263579390107,26.323915055450556,0.687595676475458,25.199569076997463,27.782060819056777,32
last,Test,R2,3818,0.35047010728635564,0.3490559428164895,0.024843010281149658,0.30386294458408586,0.39613989982291214,32
last,Test,MSE,3818,908.1703771608172,902.9198762441068,34.97884882908517,836.8948877029859,976.4573942509166,32
last,Test,MAE,3520,44.321875,44.230079545454544,0.723498566716267,42.66540838068182,45.58508167613636,33
