analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
TP,PerRI,mortality,pop_normal,21697.0,458.0,rate_of:PerRI,0.4410480349344978,0.5255426338339847,0.0196517170931024,10279.0
TP,NORMA_q_age_set,mortality,pop_normal,21697.0,458.0,native,0.2991266375545851,0.7671265125476717,0.0269525870548888,5083.0
TP,NORMA_q_age_set,mortality,pop_normal,21697.0,458.0,rate_of:PerRI,0.5611353711790393,0.5281322096143887,0.0250024321432045,10279.0
WBC,PerRI,mortality,pop_normal,27304.0,636.0,native,0.4638364779874214,0.5662966851657417,0.024871427367001,11861.0
WBC,PerRI,mortality,pop_normal,27304.0,636.0,rate_of:PerRI,0.4638364779874214,0.5662966851657417,0.024871427367001,11861.0
WBC,NORMA_q_age_set,mortality,pop_normal,27304.0,636.0,native,0.4245283018867924,0.8085345732713365,0.0502232142857142,5376.0
WBC,NORMA_q_age_set,mortality,pop_normal,27304.0,636.0,rate_of:PerRI,0.6588050314465409,0.5709464526773661,0.0353258578534693,11861.0
A1C,PerRI,prolonged_los,pop_normal,58.0,42.0,native,0.4761904761904761,0.3125,0.6451612903225806,31.0
A1C,PerRI,prolonged_los,pop_normal,58.0,42.0,rate_of:PerRI,0.4761904761904761,0.3125,0.6451612903225806,31.0
A1C,NORMA_q_age_set,prolonged_los,pop_normal,58.0,42.0,native,0.0476190476190476,0.9375,0.6666666666666666,3.0
A1C,NORMA_q_age_set,prolonged_los,pop_normal,58.0,42.0,rate_of:PerRI,0.5476190476190477,0.5,0.7419354838709677,31.0
ALB,PerRI,prolonged_los,pop_normal,21527.0,16710.0,native,0.4749251944943148,0.6294374091758356,0.8163769159551486,9721.0
ALB,PerRI,prolonged_los,pop_normal,21527.0,16710.0,rate_of:PerRI,0.4749251944943148,0.6294374091758356,0.8163769159551486,9721.0
ALB,NORMA_q_age_set,prolonged_los,pop_normal,21527.0,16710.0,native,0.1688809096349491,0.8258252024081378,0.7708276427205681,3661.0
ALB,NORMA_q_age_set,prolonged_los,pop_normal,21527.0,16710.0,rate_of:PerRI,0.4575703171753441,0.5692339630475399,0.7865445941775537,9721.0
ALP,PerRI,prolonged_los,pop_normal,22953.0,18586.0,native,0.7133326159474873,0.3059308449736661,0.8139235066609368,16289.0
ALP,PerRI,prolonged_los,pop_normal,22953.0,18586.0,rate_of:PerRI,0.7133326159474873,0.3059308449736661,0.8139235066609368,16289.0
ALP,NORMA_q_age_set,prolonged_los,pop_normal,22953.0,18586.0,native,0.3971806736253094,0.6555988092512022,0.8307449921224398,8886.0
