subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
pop_normal,TBIL,NORMA_q_age_set_co,unplanned_icu,first,category,5904,57,high,3.695,1.669,8.177,0.00126,0.0234561298179842
pop_normal,TBIL,Gaussian_eb,unplanned_icu,first,category,5904,57,high,1.791,0.924,3.473,0.08436,0.2960101664401255
pop_normal,TBIL,NORMA_q_age_set_co,unplanned_icu,first,z,5904,57,z,1.279,0.828,1.978,0.26742,0.8153311412687787
pop_normal,TBIL,NORMA_q_age,unplanned_icu,first,category,5904,57,high,4.292,2.164,8.513,3e-05,0.0029598466679589
pop_normal,TBIL,NORMA_q_age,unplanned_icu,first,z,5904,57,z,1.348,0.99,1.834,0.05783,0.3668611063533047
pop_normal,TBIL,NORMA_q_age,unplanned_icu,first,binary,5904,57,abnormal,2.52,1.272,4.992,0.00805,0.0860795192873811
pop_normal,TBIL,NORMA_334f7e21,unplanned_icu,first,category,5904,57,high,2.542,1.089,5.933,0.03102,0.1618212304215665
pop_normal,TBIL,NORMA_334f7e21,unplanned_icu,first,z,5904,57,z,1.256,0.894,1.765,0.18897,0.7195279441165678
pop_normal,TBIL,NORMA_334f7e21,unplanned_icu,first,binary,5904,57,abnormal,1.494,0.641,3.483,0.35302,0.7261400959349567
pop_normal,TBIL,NORMA_q_age_set,unplanned_icu,first,category,5904,57,high,1.773,0.64,4.91,0.27065,0.5276392267848381
pop_normal,TBIL,NORMA_q_age_set,unplanned_icu,first,z,5904,57,z,1.245,0.839,1.849,0.27703,0.8184022322910602
