method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
Cohen_m4,low,HCT,176113,0.2656,1.1089,0.2633,
Cohen_m4,low,HGB,138000,0.5662,1.1212,0.2264,
Cohen_m4,low,K,28049,0.0139,0.627,1.0,
Cohen_m4,low,NA,43343,0.1324,0.7162,0.902,
Cohen_m4,low,PLT,33282,0.1905,0.6989,1.0,
Cohen_m4,low,TP,38707,0.1243,0.5666,0.7788,
Cohen_m4,low,WBC,24402,0.6924,0.8736,0.7119,
Cohen_m4,normal,A1C,104,0.6154,0.4623,0.2991,
Cohen_m4,normal,ALB,70958,0.8371,0.4027,0.9637,
Cohen_m4,normal,ALP,96930,0.9037,0.7929,0.9079,
Cohen_m4,normal,ALT,69062,0.8498,1.0449,0.7772,
Cohen_m4,normal,AST,93762,0.7659,0.7062,0.9936,
Cohen_m4,normal,BUN,77473,0.7795,0.8018,0.8587,
Cohen_m4,normal,CA,75102,0.8323,0.6672,0.8645,
Cohen_m4,normal,CL,91483,0.6798,0.6145,1.0,
Cohen_m4,normal,CO2,37116,0.7511,0.7881,0.9706,
Cohen_m4,normal,CRE,141775,0.9354,0.7265,1.0,
Cohen_m4,normal,GLU,54817,0.3489,0.6288,0.4055,
Cohen_m4,normal,HCT,31085,0.865,0.8871,0.6586,
Cohen_m4,normal,HGB,25521,0.9148,1.1212,0.5934,
Cohen_m4,normal,K,179723,0.7494,0.627,1.0,
Cohen_m4,normal,NA,154253,0.8105,0.7162,0.9598,
Cohen_m4,normal,PLT,114816,0.8537,0.6989,0.9863,
Cohen_m4,normal,TBIL,97116,0.7668,0.673,0.9156,
Cohen_m4,normal,TP,79846,0.6883,0.5666,0.9192,
Cohen_m4,normal,WBC,104538,0.8724,0.8736,0.8683,
Cohen_m4,all,A1C,752,0.2487,0.4623,0.2171,
Cohen_m4,all,ALB,127395,0.4663,0.4027,0.9081,
Cohen_m4,all,ALP,106449,0.8517,0.7929,0.8996,
Cohen_m4,all,ALT,98969,0.7916,1.0449,0.7632,
Cohen_m4,all,AST,98961,0.7273,0.7062,0.9907,
Cohen_m4,all,BUN,123775,0.5925,0.8018,0.8288,
Cohen_m4,all,CA,132262,0.5366,0.6672,0.8484,
Cohen_m4,all,CL,147093,0.4481,0.6145,1.0,
Cohen_m4,all,CO2,72521,0.4174,0.7881,0.9678,
Cohen_m4,all,CRE,189703,0.7876,0.7265,1.0,
Cohen_m4,all,GLU,299782,0.1826,0.6288,0.437,
Cohen_m4,all,HCT,207198,0.3556,1.1089,0.3986,
Cohen_m4,all,HGB,163521,0.6206,1.1212,0.3277,
Cohen_m4,all,K,212608,0.6354,0.627,1.0,
Cohen_m4,all,NA,197596,0.6617,0.7162,0.9466,
Cohen_m4,all,PLT,148098,0.7047,0.6989,0.9896,
Cohen_m4,all,TBIL,110474,0.6805,0.673,0.9147,
Cohen_m4,all,TP,118553,0.5042,0.5666,0.8648,
Cohen_m4,all,WBC,151713,0.7461,0.8736,0.8467,
Gaussian_mle,high,A1C,648,0.0185,1.0,1.0,
Gaussian_mle,high,ALP,9519,0.032,0.8409,0.8973,
Gaussian_mle,high,ALT,10982,0.0279,0.825,0.9563,
Gaussian_mle,high,AST,5199,0.0239,0.8843,0.8844,
Gaussian_mle,high,BUN,31191,0.102,0.9839,0.8967,
Gaussian_mle,high,CL,26846,0.1183,0.9912,0.9062,
Gaussian_mle,high,CO2,13786,0.1082,1.0125,0.8873,
Gaussian_mle,high,CRE,14630,0.0334,0.6799,1.0,
Gaussian_mle,high,GLU,244965,0.0173,0.9058,1.0,
Gaussian_mle,high,K,4836,0.1917,1.0902,0.8401,
Gaussian_mle,high,TBIL,13358,0.119,0.9732,0.8818,
Gaussian_mle,high,WBC,22773,0.0935,0.8787,0.967,
Gaussian_mle,low,ALB,56437,0.0696,0.5092,0.8735,
Gaussian_mle,low,ALT,18925,0.4776,0.7831,0.8738,
Gaussian_mle,low,BUN,15111,0.4882,0.9335,0.8251,
Gaussian_mle,low,CA,57160,0.1734,0.7949,0.8331,
Gaussian_mle,low,CL,28764,0.0493,0.9383,0.9382,
Gaussian_mle,low,CO2,21619,0.0868,0.9906,0.9205,
Gaussian_mle,low,CRE,33298,0.2532,0.572,0.8865,
Gaussian_mle,low,HCT,176113,0.032,1.0,1.0,
Gaussian_mle,low,HGB,138000,0.0322,1.0,1.0,
Gaussian_mle,low,K,28049,0.4036,0.9748,0.8449,
Gaussian_mle,low,NA,43343,0.2931,0.8865,0.7537,
Gaussian_mle,low,PLT,33282,0.1762,0.6261,0.8797,
Gaussian_mle,low,TP,38707,0.1578,0.846,0.8455,
Gaussian_mle,low,WBC,24402,0.3642,0.9195,0.876,
Gaussian_mle,normal,A1C,104,0.9038,0.9276,1.0,
Gaussian_mle,normal,ALB,70958,0.8744,0.5196,0.8897,
Gaussian_mle,normal,ALP,96930,0.8071,0.5911,1.0,
Gaussian_mle,normal,ALT,69062,0.854,0.7752,0.9205,
Gaussian_mle,normal,AST,93762,0.8877,0.8139,0.9253,
Gaussian_mle,normal,BUN,77473,0.8833,0.9383,0.8775,
Gaussian_mle,normal,CA,75102,0.8661,0.8265,0.845,
Gaussian_mle,normal,CL,91483,0.8973,0.9425,0.9302,
Gaussian_mle,normal,CO2,37116,0.8823,0.9798,0.9091,
Gaussian_mle,normal,CRE,141775,0.8862,0.558,0.9984,
Gaussian_mle,normal,GLU,54817,0.9243,0.8139,1.0,
Gaussian_mle,normal,HCT,31085,0.9006,0.7752,0.8378,
Gaussian_mle,normal,HGB,25521,0.8972,0.5794,0.9748,
Gaussian_mle,normal,K,179723,0.8953,0.946,0.8734,
Gaussian_mle,normal,NA,154253,0.903,0.8782,0.7982,
Gaussian_mle,normal,PLT,114816,0.7861,0.587,0.928,
Gaussian_mle,normal,TBIL,97116,0.8972,0.8593,0.8657,
Gaussian_mle,normal,TP,79846,0.8806,0.891,0.8517,
Gaussian_mle,normal,WBC,104538,0.8965,0.8854,0.9392,
Gaussian_mle,all,A1C,752,0.141,1.0,1.0,
Gaussian_mle,all,ALB,127395,0.5178,0.5173,0.8829,
Gaussian_mle,all,ALP,106449,0.7378,0.615,1.0,
Gaussian_mle,all,ALT,98969,0.6903,0.783,0.9159,
Gaussian_mle,all,AST,98961,0.8423,0.818,0.9221,
Gaussian_mle,all,BUN,123775,0.6382,0.9472,0.8765,
Gaussian_mle,all,CA,132262,0.5667,0.8161,0.84,
Gaussian_mle,all,CL,147093,0.5893,0.9524,0.9278,
Gaussian_mle,all,CO2,72521,0.498,0.9915,0.9073,
Gaussian_mle,all,CRE,189703,0.7094,0.5688,0.9791,
Gaussian_mle,all,GLU,299782,0.1831,0.8821,1.0,
Gaussian_mle,all,HCT,207198,0.1623,1.0,1.0,
Gaussian_mle,all,HGB,163521,0.1672,1.0,1.0,
Gaussian_mle,all,K,212608,0.8144,0.953,0.8679,
Gaussian_mle,all,NA,197596,0.7692,0.8794,0.7868,
