analyte,direction,target_sensitivity,method,n_strata,n,n_events,prevalence,flag_rate,sensitivity,specificity,ppv,rr,tp,fp,tn,fn,n_population,n_events_population,auc,auc_lo,auc_hi,auprc,auprc_norm,auc_within_position,n_endpoints,age_band,sex,tp_norm,fp_norm,pop_pos,pop_neg,gap_hours,horizon_hours,min_normal_frac
ALT,low,0.2,Gaussian_trunc,14.0,3828,272,0.0706757594544327,0.1393450438988144,0.2058823529411764,0.8692350956130483,0.1015819411419985,1.4372953601933651,56.0,465.0,3091.0,216.0,4856.0,345.0,0.5998643551908952,0.5639973938728653,0.6357313165089251,0.0987058921118382,1.3891402757504294,0.5145119422942065,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Gaussian_eb,14.0,3828,272,0.0706757594544327,0.1228844679890793,0.213235294117647,0.8855455568053994,0.1227566388003319,1.7368987577625914,58.0,407.0,3149.0,214.0,4856.0,345.0,0.7167649540131014,0.690707002189484,0.7428229058367187,0.1264531100967207,1.7796415641553194,0.5445549842070712,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_age_set,14.0,3828,272,0.0706757594544327,0.0960063186562476,0.2022058823529411,0.9119797525309336,0.1452850809777431,2.0556564527815766,55.0,313.0,3243.0,217.0,4856.0,345.0,0.7190973830477072,0.6928011484056738,0.7453936176897407,0.1311234721184275,1.8453700414313987,0.5226045485600552,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_334f7e21,14.0,3828,272,0.0706757594544327,0.0889632378480792,0.1985294117647058,0.9204161979752532,0.1544641567160993,2.185532322658493,54.0,283.0,3273.0,218.0,4856.0,345.0,0.7181048600542579,0.6915467481633587,0.7446629719451571,0.1307071516209248,1.8395109426650744,0.5121696670260004,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_age,14.0,3828,272,0.0706757594544327,0.1011051319432999,0.1985294117647058,0.906355455568054,0.1359142829727345,1.923067881008954,54.0,333.0,3223.0,218.0,4856.0,345.0,0.7135165089657911,0.6869907164914505,0.7400423014401317,0.1265321242337865,1.7807535719372605,0.5153764617629815,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_set,14.0,3828,272,0.0706757594544327,0.0972053147015353,0.2022058823529411,0.9088863892013498,0.1434930366017079,2.030300596829429,55.0,324.0,3232.0,217.0,4856.0,345.0,0.7214132700324224,0.6951346735079514,0.7476918665568933,0.1296834485413603,1.8251038272659088,0.516580851919657,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_co,14.0,3828,272,0.0706757594544327,0.0960373583577837,0.2022058823529411,0.9097300337457818,0.1452381241931302,2.054992055469465,55.0,321.0,3235.0,217.0,4856.0,345.0,0.7037742754582148,0.6765556777656336,0.730992873150796,0.1232120189740662,1.7340279729144317,0.5048122720522746,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_age_set_co,14.0,3828,272,0.0706757594544327,0.0833290479130417,0.2022058823529411,0.9243532058492688,0.1673880373012748,2.3683938962013715,55.0,269.0,3287.0,217.0,4856.0,345.0,0.7171082015483359,0.6904082331469775,0.7438081699496942,0.1305351940770795,1.8370908931141927,0.5282982195824649,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,PopRI,14.0,9123,273,0.0296958209224659,0.0379557093506237,0.2124542124542124,0.9665536723163842,0.1667817693897095,5.616338064038274,58.0,296.0,8554.0,215.0,11127.0,333.0,0.7667949752695515,0.7385212201107332,0.7950687304283699,0.0969925071425771,3.2412551013250246,0.5512263388487636,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,PerRI,14.0,9123,273,0.0296958209224659,0.1359869839336936,0.2051282051282051,0.8661016949152542,0.0448915628002013,1.5117131436578457,56.0,1185.0,7665.0,217.0,11127.0,333.0,0.6488408766374868,0.6176899132942807,0.6799918399806929,0.0461502563744505,1.5422299959857595,0.5078554138552671,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Cohen_m2,14.0,9123,273,0.0296958209224659,0.0595874423715499,0.2087912087912088,0.9444067796610168,0.1047210496326022,3.5264574737981764,57.0,492.0,8358.0,216.0,11127.0,333.0,0.7329260569938536,0.7026041632424418,0.7632479507452654,0.0746074825654638,2.4932016975997326,0.5158024154042214,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Cohen_m3,14.0,9123,273,0.0296958209224659,0.0488521283825853,0.2161172161172161,0.9544632768361582,0.1314288943057606,4.425838054752347,59.0,403.0,8447.0,214.0,11127.0,333.0,0.7230926512282445,0.6914032586857107,0.7547820437707783,0.0799381019483866,2.671338110165315,0.5212721494162778,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Cohen_m4,14.0,9123,273,0.0296958209224659,0.0782461935239913,0.2124542124542124,0.9255367231638418,0.0806142109460905,2.7146651765098406,58.0,659.0,8191.0,215.0,11127.0,333.0,0.698597297241365,0.6666947759361798,0.7304998185465502,0.0648312757047037,2.166504499098948,0.5162245309804283,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Gaussian_mle,14.0,9123,273,0.0296958209224659,0.0876560028392353,0.2087912087912088,0.9159322033898304,0.070930616218117,2.388572331551729,57.0,744.0,8106.0,216.0,11127.0,333.0,0.7017214047722523,0.672007948996893,0.7314348605476116,0.0564096894149869,1.885075445175554,0.5061480229137956,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Gaussian_trunc,14.0,9123,273,0.0296958209224659,0.1517726695207093,0.2051282051282051,0.8481355932203389,0.0403711251972164,1.3594884378722207,56.0,1344.0,7506.0,217.0,11127.0,333.0,0.5757658161047992,0.5406160018287567,0.6109156303808416,0.0390080588157911,1.3035550204266015,0.5013611945356281,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,Gaussian_eb,14.0,9123,273,0.0296958209224659,0.0936784553135302,0.2087912087912088,0.9091525423728812,0.0663705894359039,2.2350144691804843,57.0,804.0,8046.0,216.0,11127.0,333.0,0.6985178286873202,0.668745182703746,0.7282904746708943,0.0564948657441582,1.887921832175662,0.5093625889145397,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,NORMA_q_age_set,14.0,9123,273,0.0296958209224659,0.0895519201906746,0.2051282051282051,0.9131073446327684,0.0684210168770267,2.3040621458376283,56.0,769.0,8081.0,217.0,11127.0,333.0,0.6963883197781503,0.6667533638215607,0.7260232757347399,0.0559306405762485,1.8690667911249648,0.5197345828804257,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,NORMA_334f7e21,14.0,9123,273,0.0296958209224659,0.0857671434848473,0.2051282051282051,0.916271186440678,0.0714403347689761,2.40573698755467,56.0,741.0,8109.0,217.0,11127.0,333.0,0.6900006208480784,0.6592066867007617,0.7207945549953952,0.0553620348770106,1.8500653633075743,0.5045510429991396,,all,all,,,,,24.0,168.0,0.8
AST,high,0.2,NORMA_q_age,14.0,9123,273,0.0296958209224659,0.0900632400645735,0.2087912087912088,0.912542372881356,0.0692853100287853,2.333167020695784,57.0,774.0,8076.0,216.0,11127.0,333.0,0.6912286583473024,0.6607297588979093,0.7217275577966955,0.055275818989726,1.8471842367885385,0.510827169510563,,all,all,,,,,24.0,168.0,0.8
