outcome,analyte,method,n,n_flagged,flag_rate,logrank_p,rr_24h,rr_72h,rr_168h,rr_720h,landmark_hours,anchor,target_sensitivity
mortality,CL,Gaussian_eb,9364,1456,0.1554891072191371,0.1741786209723397,1.1208561643571386,1.2209840029560084,1.1785533090417586,1.0200285630128128,72.0,soc_rate,0.25
mortality,CL,NORMA_q_age_set,9364,2129,0.2273601025202904,0.4248240714055614,1.3872375069024512,1.248351681136717,1.0021627369060913,0.9918080997419222,72.0,sensitivity,0.25
mortality,CL,NORMA_q_age_set,9364,1484,0.1584792823579666,0.9721680837446872,1.727221367809998,0.946146265106064,0.9494919130455785,0.935606801302964,72.0,soc_rate,0.25
mortality,CL,NORMA_334f7e21,9364,2088,0.22298163178129,0.5574503114156113,1.3764836279109096,1.340546960654256,1.1063612257255857,1.006877126427754,72.0,sensitivity,0.25
mortality,CL,NORMA_334f7e21,9364,1484,0.1584792823579666,0.6036515061811346,1.7220080879061868,1.206690593788731,1.1215512193530823,1.092390548283562,72.0,soc_rate,0.25
mortality,CL,NORMA_q_age,9364,2352,0.251174711661683,0.8879839514828806,0.9685238730372944,1.0917649310696802,0.9652158762133688,1.0377568154200008,72.0,sensitivity,0.25
mortality,CL,NORMA_q_age,9364,1484,0.1584792823579666,0.7682744789003519,1.3811995539700157,1.0123726598957523,1.0119000427699931,1.1327813027738116,72.0,soc_rate,0.25
mortality,CL,NORMA_q_age_set_co,9364,1726,0.1843229389149936,0.1400442609817934,1.37785690838072,1.3815539868936764,1.0851153765529038,1.0426646553967298,72.0,sensitivity,0.25
mortality,CL,NORMA_q_age_set_co,9364,1484,0.1584792823579666,0.4361523313308676,1.0154024572231466,1.319560433923549,1.11515246443205,1.155099236509691,72.0,soc_rate,0.25
mortality,CL,StandardOfCare,9364,1484,0.1584792823579666,3.983973718992702e-09,2.167035254544272,3.2216074451274865,2.4602818870829224,1.7024358407614368,72.0,sensitivity,0.25
mortality,CL,StandardOfCare,9364,1484,0.1584792823579666,3.983973718992702e-09,2.167035254544272,3.2216074451274865,2.4602818870829224,1.7024358407614368,72.0,soc_rate,0.25
mortality,CL,Cohen_m2,9364,1570,0.1676633917129432,0.0316403532882035,1.3012405208572675,1.7984411846282051,1.5940114536145016,1.408285868652653,72.0,sensitivity,0.25
mortality,CL,PerRI,9364,1484,0.1584792823579666,0.4953413110412409,0.5146958398663924,0.5503732642348717,0.7083135798927969,0.8359572535518522,72.0,soc_rate,0.25
mortality,CL,Cohen_m2,9364,1484,0.1584792823579666,0.0484872375645804,1.3904836352399583,1.603507426425052,1.5476129964098078,1.3570829286605015,72.0,soc_rate,0.25
mortality,CL,PerRI,9364,2774,0.2962409226826142,0.8927074562013958,0.6691263435878356,0.7570958058460713,0.7920742155516121,0.8810426002923243,72.0,sensitivity,0.25
mortality,CL,Cohen_m2,12993,704,0.0541830216270299,0.0001523190000739,3.66340878896824,2.8182997760438795,2.1491966475159683,1.7368356273551917,24.0,soc_rate,0.25
mortality,CL,PopRI,9364,1484,0.1584792823579666,0.1884755459723853,1.0741001252395606,1.4837886073383633,1.12128079790054,1.2413043941726905,72.0,soc_rate,0.25
mortality,CL,Cohen_m3,12993,2304,0.1773262525975525,0.0065570711940333,2.5230170719968936,1.952170811467869,1.3618317502988724,1.2228287290473916,24.0,sensitivity,0.25
mortality,CL,Cohen_m3,12993,704,0.0541830216270299,0.0003898135790954,2.560492752242435,2.5448471568941105,1.8874836334414715,1.7475761765477225,24.0,soc_rate,0.25
mortality,CL,Cohen_m4,12993,2379,0.1830985915492957,0.0003318882478682,4.335817415610927,2.09204666808118,1.4467009252397076,1.370010068456178,24.0,sensitivity,0.25
mortality,CL,Cohen_m4,12993,704,0.0541830216270299,0.017983503043317,0.7473509471219619,1.3014072872682716,1.441803470010866,2.0180055432985955,24.0,soc_rate,0.25
mortality,CL,Gaussian_mle,12993,2646,0.2036481182175017,0.0150523723804482,3.635486534425988,1.3744357693498384,1.13505313316194,1.0871515959912688,24.0,sensitivity,0.25
mortality,CL,Gaussian_mle,12993,689,0.0530285538366812,0.7356945626753052,2.6340573570538504,1.2473104319115635,1.2812476845705514,1.1460026880786354,24.0,soc_rate,0.25
mortality,CL,Gaussian_trunc,12993,4488,0.3454167628723159,0.2628783330359019,1.4459515848332556,0.914417454733584,0.6785817744188427,0.8374306017478474,24.0,sensitivity,0.25
mortality,CL,Gaussian_trunc,12993,689,0.0530285538366812,0.5430308522311695,0.8900329850106363,0.8874568679696134,0.54297294612779,1.032170922967391,24.0,soc_rate,0.25
mortality,CL,Gaussian_eb,12993,2660,0.2047256214884938,0.0280781733532604,3.002472406925871,1.4077099946426392,1.0950964483017491,1.165292500109657,24.0,sensitivity,0.25
mortality,CA,PerRI,2200,496,0.2254545454545454,0.6782712219546784,1.970824477722647,2.068552826539909,0.9917138951376304,0.742437551538662,168.0,soc_rate,0.25
mortality,CA,NORMA_334f7e21,4574,981,0.2144731088762571,0.1259991868467451,1.5864096037142863,1.3539171910776735,1.0359455798603554,1.1367509858776317,72.0,sensitivity,0.25
mortality,CL,NORMA_q_age_set,12993,704,0.0541830216270299,0.8474137090071002,0.8167263720618877,1.2382109471737035,1.3771696020822892,0.8498504775581894,24.0,soc_rate,0.25
