analyte,outcome,method,anchor,n_patients,n_events,n_nonevents,meas_flag_rate,alerts_per_100_patient_days,nonevents_flagged_frac,events_flagged_frac,events_flagged_before_frac,median_lead_h,iqr25_lead_h,iqr75_lead_h,median_lead_h_early,iqr25_lead_h_early,iqr75_lead_h_early,median_lead_tests_early,median_lead_tests,median_tests_per_day,detected_0h_before,detected_6h_before,detected_12h_before,detected_24h_before,detected_48h_before,detected_72h_before,median_lead_h_low_intensity,detected_24h_low_intensity,median_lead_h_mid_intensity,detected_24h_mid_intensity,median_lead_h_high_intensity,detected_24h_high_intensity,lm_n,lm_events,lm_tp,lm_fp,rr_landmark,direction,window_hours,age_band,n_early,n_24h,n_nonevents_flagged,target_rate
ALB,pop_abnormal,Cohen_m4,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0641729010806317,0.805575935436537,0.0216434336023477,0.0,0.0,0.0,47.41666666667152,23.95833333333576,56.625,0.0,0.0,0.4995663486556809,0.805575935436537,0.0212765957446808,0.0201760821716801,0.016140865737344,0.0091709464416727,0.004035216434336,0.0,0.00625,0.0,0.0191846522781774,0.0,0.0191693290734824,6639.0,624.0,52.0,314.0,1.5116120218579234,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,native,8741.0,2726,6015,0.3199209486166008,14.36016270159358,0.1574397339983375,1.0,0.0447542186353631,0.0,0.0,0.0,47.83333333333363,23.833333333337578,72.0,0.0,0.0,0.4995663486556809,1.0,0.0440205429200293,0.0425531914893617,0.033015407190022,0.0216434336023477,0.012105649303008,0.0,0.0140625,0.0,0.0407673860911271,0.0,0.0375399361022364,6639.0,624.0,112.0,784.0,1.3299278846153846,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.0626766417290108,0.8088774761555393,0.0212765957446808,0.0,0.0,0.0,44.9583333333394,23.8958333333394,52.583333333333485,0.0,0.0,0.4995663486556809,0.8088774761555393,0.0209097578870139,0.0198092443140132,0.0157740278796771,0.0088041085840058,0.0036683785766691,0.0,0.00625,0.0,0.0179856115107913,0.0,0.0191693290734824,6639.0,624.0,51.0,309.0,1.5072516025641025,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,early_sens,8741.0,2726,6015,0.3229249011857708,14.494999910059246,0.1582709891936824,1.0,0.0498899486426999,0.0,0.0,0.0,47.66666666666606,23.81249999999639,72.0,0.0,0.0,0.4995663486556809,1.0,0.0491562729273661,0.0473220836390315,0.0355832721936903,0.0231107850330154,0.0128393250183418,0.0,0.015625,0.0,0.0431654676258992,0.0,0.0407348242811501,6639.0,624.0,124.0,796.0,1.434009197324415,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,native,8741.0,2726,6015,0.3127272727272727,14.037263070794218,0.1443059019118869,1.0,0.0436537050623624,0.0,0.0,0.0,47.75,23.833333333334565,72.0,0.0,0.0,0.4995663486556809,1.0,0.0429200293470286,0.0414526779163609,0.0319148936170212,0.020542920029347,0.0117388114453411,0.0,0.0140625,0.0,0.0371702637889688,0.0,0.0375399361022364,6639.0,624.0,110.0,728.0,1.3965829814576831,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,soc_rate,8741.0,2726,6015,0.2139130434782608,9.601828581792,0.2917705735660847,0.2655906089508437,0.0638297872340425,0.0,0.0,0.0,47.49999999999818,24.16666666666657,54.60416666666799,0.0,0.0,0.4995663486556809,0.2655906089508437,0.0630961115187087,0.0623624358033749,0.0502567865003668,0.0264123257520176,0.012105649303008,0.0,0.01875,0.0,0.0539568345323741,0.0,0.0638977635782747,6639.0,624.0,122.0,1268.0,0.9338198671831766,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,native,8741.0,2726,6015,0.9924901185770753,44.54950400753828,0.9930174563591022,0.9849596478356566,0.2267057960381511,0.0,0.0,0.0,47.83333333333314,24.0,71.97916666666669,0.0,0.0,0.4995663486556809,0.9849596478356566,0.2234042553191489,0.2164343360234776,0.1720469552457813,0.1060161408657373,0.0568598679383712,0.0,0.1015625,0.0,0.2194244604316546,0.0,0.176517571884984,6639.0,624.0,618.0,5973.0,0.9975972479955184,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,soc_rate,8741.0,2726,6015,0.215494071146245,9.672795533616036,0.2611803823773899,0.3371239911958914,0.0693323550990462,0.0,0.0,0.0,47.66666666666674,24.083333333333485,71.50000000001455,0.0,0.0,0.4995663486556809,0.3371239911958914,0.0685986793837124,0.0674981658107116,0.0542920029347028,0.0293470286133528,0.0150403521643433,0.0,0.0234375,0.0,0.0635491606714628,0.0,0.0638977635782747,6639.0,624.0,145.0,1156.0,1.1857927334003429,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,early_sens,8741.0,2726,6015,0.1543083003952569,6.926374498025862,0.1931837073981712,0.2465150403521643,0.0502567865003668,0.0,0.0,0.0,47.33333333333326,24.083333333328483,54.833333333333485,0.0,0.0,0.4995663486556809,0.2465150403521643,0.0498899486426999,0.0491562729273661,0.0388848129126925,0.0209097578870139,0.0099046221570066,0.0,0.0171875,0.0,0.0431654676258992,0.0,0.0471246006389776,6639.0,624.0,99.0,822.0,1.1436513405161617,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,native,8741.0,2726,6015,0.761897233201581,34.1989740840027,0.7399833748960931,0.9849596478356566,0.202127659574468,0.0,0.0,0.0,47.58333333333212,24.0,71.83333333333076,0.0,0.0,0.4995663486556809,0.9849596478356566,0.1988261188554659,0.1922230374174615,0.1522377109317681,0.0887747615553925,0.0480557593543653,0.0,0.0921875,0.0,0.1882494004796163,0.0,0.1589456869009584,6639.0,624.0,528.0,4190.0,1.1906772752470085,toward_bound,168.0,all,,,,all
