design,n,n_events,n_nonevents,n_reclassified,events_up,events_down,nonevents_up,nonevents_down,NRI,NRI_events,NRI_nonevents,NRI_se,NRI_p,ref_high_risk_rate,new_high_risk_rate,outcome,ref_method,new_method,subset,ref_mean_abnormal,new_mean_abnormal
swap,1672,28,1644,1373,28,0,1345,0,0.1819,1.0,-0.8181,0.0101,0.0,,,periop_infection,PopRI,Cohen_m3,all,5.16,6.77
swap,1672,28,1644,1234,22,0,1212,0,0.0485,0.7857,-0.7372,0.0798,0.5235,,,periop_infection,PopRI,Cohen_m4,all,5.16,6.51
swap,1672,28,1644,1194,17,0,1177,0,-0.1088,0.6071,-0.7159,0.0941,0.2618,,,periop_infection,PopRI,Gaussian_mle,all,5.16,6.47
swap,1672,28,1644,1583,26,0,1557,0,-0.0185,0.9286,-0.9471,0.0498,0.7512,,,periop_infection,PopRI,Gaussian_trunc,all,5.16,8.07
swap,1672,28,1644,1237,15,2,1118,102,-0.1537,0.4643,-0.618,0.1198,0.2006,,,periop_infection,PopRI,Gaussian_eb,all,5.16,6.33
swap,1672,28,1644,807,18,0,789,0,0.1629,0.6429,-0.4799,0.0937,0.0765,,,periop_infection,PopRI,NORMA_q_age_set,all,5.16,5.87
swap,1690,243,1447,1644,232,0,1412,0,-0.0211,0.9547,-0.9758,0.0142,0.1289,,,unplanned_icu,PopRI,PerRI,all,5.27,8.84
swap,1690,243,1447,938,154,0,784,0,0.0919,0.6337,-0.5418,0.0339,0.0066,,,unplanned_icu,PopRI,NORMA_q_age_set_co,all,5.27,6.13
swap,1690,1272,418,938,675,0,263,0,-0.0985,0.5307,-0.6292,0.0281,0.0004,,,prolonged_los,PopRI,NORMA_q_age_set_co,all,5.15,6.02
swap,1690,1272,418,1635,1222,0,413,0,-0.0273,0.9607,-0.988,0.0076,0.0004,,,prolonged_los,PopRI,PerRI,all,5.15,8.71
swap,1690,1272,418,872,624,0,248,0,-0.1027,0.4906,-0.5933,0.0281,0.0002,,,prolonged_los,PopRI,NORMA_334f7e21,all,5.15,5.91
swap,1672,28,1644,884,19,0,865,0,0.1524,0.6786,-0.5262,0.09,0.0841,,,periop_infection,PopRI,NORMA_q_age,all,5.16,5.96
swap,1690,22,1668,1635,20,0,1615,0,-0.0591,0.9091,-0.9682,0.063,0.3304,,,mortality,PopRI,PerRI,all,5.17,8.73
swap,1690,22,1668,1267,17,0,1250,0,0.0233,0.7727,-0.7494,0.0899,0.8122,,,mortality,PopRI,Cohen_m2,all,5.17,6.54
swap,1690,22,1668,1410,21,0,1389,0,0.1218,0.9545,-0.8327,0.0467,0.0094,,,mortality,PopRI,Cohen_m3,all,5.17,6.81
swap,1690,22,1668,1258,20,0,1238,0,0.1669,0.9091,-0.7422,0.0624,0.0074,,,mortality,PopRI,Cohen_m4,all,5.17,6.54
swap,1690,22,1668,1176,13,0,1163,0,-0.1063,0.5909,-0.6972,0.1088,0.32,,,mortality,PopRI,Gaussian_mle,all,5.17,6.48
swap,1690,22,1668,1605,20,0,1585,0,-0.0411,0.9091,-0.9502,0.061,0.5475,,,mortality,PopRI,Gaussian_trunc,all,5.17,8.13
swap,1690,22,1668,1237,11,5,1098,123,-0.3118,0.2727,-0.5845,0.167,0.0681,,,mortality,PopRI,Gaussian_eb,all,5.17,6.3
swap,1690,22,1668,843,8,0,835,0,-0.137,0.3636,-0.5006,0.1057,0.2021,,,mortality,PopRI,NORMA_q_age_set,all,5.17,5.88
swap,1690,22,1668,891,10,0,881,0,-0.0736,0.4545,-0.5282,0.1081,0.5028,,,mortality,PopRI,NORMA_334f7e21,all,5.17,5.94
swap,1690,22,1668,909,10,0,899,0,-0.0844,0.4545,-0.539,0.108,0.4493,,,mortality,PopRI,NORMA_q_age,all,5.17,5.99
swap,1690,22,1668,923,13,0,910,0,0.0453,0.5909,-0.5456,0.1095,0.7044,,,mortality,PopRI,NORMA_q_age_set_co,all,5.17,6.03
swap,1690,1272,418,1289,973,0,316,0,0.009,0.7649,-0.756,0.0234,0.6778,,,prolonged_los,PopRI,Cohen_m2,all,5.15,6.56
swap,1690,1272,418,1407,1066,0,341,0,0.0223,0.8381,-0.8158,0.0217,0.3016,,,prolonged_los,PopRI,Cohen_m3,all,5.15,6.76
swap,1690,1272,418,1243,931,0,312,0,-0.0145,0.7319,-0.7464,0.0247,0.5792,,,prolonged_los,PopRI,Cohen_m4,all,5.15,6.49
swap,1690,1272,418,1235,910,0,325,0,-0.0621,0.7154,-0.7775,0.0244,0.0128,,,prolonged_los,PopRI,Gaussian_mle,all,5.15,6.5
swap,1690,1272,418,1612,1215,0,397,0,0.0054,0.9552,-0.9498,0.012,0.6685,,,prolonged_los,PopRI,Gaussian_trunc,all,5.15,8.11
swap,1690,1272,418,1257,862,83,288,24,-0.0192,0.6124,-0.6316,0.0326,0.5318,,,prolonged_los,PopRI,Gaussian_eb,all,5.15,6.34
swap,1690,1272,418,810,587,0,223,0,-0.072,0.4615,-0.5335,0.0288,0.0136,,,prolonged_los,PopRI,NORMA_q_age_set,all,5.15,5.86
swap,1690,1272,418,885,631,0,254,0,-0.1116,0.4961,-0.6077,0.0286,0.0001,,,prolonged_los,PopRI,NORMA_q_age,all,5.15,5.95
swap,1672,28,1644,895,20,0,875,0,0.182,0.7143,-0.5322,0.0886,0.0375,,,periop_infection,PopRI,NORMA_q_age_set_co,all,5.16,6.01
