method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
PerRI,normal,ALB,5734,0.6165,0.5303,0.3846,
PerRI,normal,ALP,33825,0.5863,0.3138,1.0,
PerRI,normal,ALT,28557,0.6066,0.4535,0.8929,
PerRI,normal,AST,31768,0.6711,0.5871,0.8943,
PerRI,normal,BUN,101350,0.6326,0.9623,0.5656,
PerRI,normal,CA,112686,0.6968,0.8369,0.5,
PerRI,normal,CL,149433,0.6821,1.165,0.4986,
PerRI,normal,CO2,191242,0.7211,1.5873,0.4222,
PerRI,normal,CRE,126540,0.8246,0.7812,0.7294,
PerRI,normal,DBIL,1534,0.8325,1.4819,0.4424,
PerRI,normal,GLU,186941,0.7481,2.6391,0.2287,
PerRI,normal,HCT,12875,0.5572,0.6777,0.5193,
PerRI,normal,HGB,14144,0.6225,0.6027,0.5645,
PerRI,normal,K,270821,0.8193,0.9138,0.75,
PerRI,normal,MCH,144080,0.7283,0.3527,1.0,
PerRI,normal,MCHC,91786,0.7332,0.6073,0.7752,
PerRI,normal,MCV,187982,0.6461,0.2199,1.0,
PerRI,normal,NA,195643,0.7152,0.8918,0.6764,
PerRI,normal,PLT,156757,0.4701,0.3175,0.9179,
PerRI,normal,RBC,18465,0.7065,0.7464,0.592,
PerRI,normal,RDW,56134,0.705,0.1665,1.0,
PerRI,normal,TBIL,34309,0.8014,0.7024,0.7669,
PerRI,normal,TC,51,0.2549,0.425,0.497,
PerRI,normal,TGL,508,0.5906,0.4515,1.0,
PerRI,normal,TP,23552,0.6692,0.7599,0.5926,
PerRI,normal,WBC,124946,0.703,0.9009,0.6494,
PerRI,all,ALB,74764,0.7482,0.4534,0.0,
PerRI,all,ALP,48535,0.5434,0.3841,1.0,
PerRI,all,ALT,44795,0.5493,0.5239,0.7535,
PerRI,all,AST,46065,0.6118,0.6714,0.7714,
PerRI,all,BUN,247304,0.5981,1.2484,0.2907,
PerRI,all,CA,252551,0.7459,0.8284,0.2997,
PerRI,all,CL,261984,0.6531,1.1967,0.4275,
PerRI,all,CO2,383508,0.655,1.6473,0.374,
