analyte,outcome,method,anchor,n_patients,n_events,n_nonevents,meas_flag_rate,alerts_per_100_patient_days,nonevents_flagged_frac,events_flagged_frac,events_flagged_before_frac,median_lead_h,iqr25_lead_h,iqr75_lead_h,median_lead_h_early,iqr25_lead_h_early,iqr75_lead_h_early,median_lead_tests_early,median_lead_tests,median_tests_per_day,detected_0h_before,detected_6h_before,detected_12h_before,detected_24h_before,detected_48h_before,detected_72h_before,median_lead_h_low_intensity,detected_24h_low_intensity,median_lead_h_mid_intensity,detected_24h_mid_intensity,median_lead_h_high_intensity,detected_24h_high_intensity,lm_n,lm_events,lm_tp,lm_fp,rr_landmark,direction,window_hours,age_band,n_early,n_24h,n_nonevents_flagged,target_rate
ALB,pop_abnormal,Cohen_m3,native,2014.0,1107,907,0.2354319180087847,22.8759713188874,0.1201764057331863,0.5618789521228545,0.009936766034327,0.0,0.0,0.0,23.73333333333335,10.833333333333329,53.07500000000002,0.0,0.0,1.0082621679307395,0.5618789521228545,0.008130081300813,0.007226738934056,0.004516711833785,0.003613369467028,0.000903342366757,0.0,0.0064724919093851,0.0,0.0060790273556231,0.0,0.0021321961620469,1191.0,284.0,8.0,74.0,0.4091377533493645,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.2116868798235942,0.7091237579042458,0.029810298102981,0.0,0.0,0.0,35.900000000000006,15.566666666666691,56.616666666666674,1.0,0.0,1.0082621679307395,0.7091237579042458,0.026196928635953,0.024390243902439,0.017163504968383,0.010840108401084,0.006323396567299,0.0,0.0129449838187702,0.0,0.0182370820668693,0.0,0.0191897654584221,1191.0,284.0,25.0,122.0,0.713207818338603,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,native,2014.0,1107,907,0.3478770131771596,33.80180836671421,0.2249173098125689,0.7443541102077688,0.029810298102981,0.0,0.0,0.0,35.900000000000006,15.566666666666691,56.616666666666674,1.0,0.0,1.0082621679307395,0.7443541102077688,0.026196928635953,0.024390243902439,0.017163504968383,0.010840108401084,0.006323396567299,0.0,0.0129449838187702,0.0,0.0182370820668693,0.0,0.0191897654584221,1191.0,284.0,25.0,131.0,0.6720612134344529,any,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.1400220507166482,0.8283649503161699,0.015356820234869,0.0,0.0,0.0,24.50000000000003,15.566666666666691,48.08333333333337,0.0,0.0,1.0082621679307395,0.8283649503161699,0.015356820234869,0.012646793134598,0.008130081300813,0.004516711833785,0.000903342366757,0.0,0.0161812297734627,0.0,0.0060790273556231,0.0,0.0042643923240938,1191.0,284.0,16.0,80.0,0.698943661971831,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,early_sens,2014.0,1107,907,0.4456808199121522,43.30501038227192,0.2679162072767365,1.0,0.049683830171635,0.0,0.0,0.0,24.16666666666669,23.25,47.05000000000005,0.0,0.0,1.0082621679307395,1.0,0.046070460704607,0.041553748870822,0.02710027100271,0.010840108401084,0.003613369467028,0.0,0.0388349514563106,0.0,0.033434650455927,0.0,0.0149253731343283,1191.0,284.0,47.0,174.0,0.8918647632400739,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Cohen_m4,native,2014.0,1107,907,0.2910688140556369,28.28198444151004,0.1146637265711135,0.7380307136404698,0.00903342366757,0.0,0.0,0.0,36.21666666666671,23.64166666666668,54.00416666666669,0.0,0.0,1.0082621679307395,0.7380307136404698,0.00903342366757,0.008130081300813,0.005420054200542,0.003613369467028,0.000903342366757,0.0,0.0097087378640776,0.0,0.0060790273556231,0.0,0.0021321961620469,1191.0,284.0,9.0,67.0,0.4966178650852483,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,soc_rate,2014.0,1107,907,0.3250366032210834,31.58249771637439,0.165380374862183,0.7642276422764228,0.020776874435411,0.0,0.0,0.0,42.0,24.575000000000017,69.98333333333335,1.0,0.0,1.0082621679307395,0.7642276422764228,0.020776874435411,0.019873532068654,0.016260162601626,0.00903342366757,0.004516711833785,0.0,0.0064724919093851,0.0,0.0212765957446808,0.0,0.0191897654584221,1191.0,284.0,19.0,92.0,0.7178340312143129,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,native,2014.0,1107,907,0.3607613469985358,35.05372719511104,0.2315325248070562,0.7777777777777778,0.048780487804878,0.0,0.0,0.0,24.683333333333337,23.09166666666664,49.566666666666656,0.0,0.0,1.0082621679307395,0.7777777777777778,0.047877145438121,0.04516711833785,0.031616982836495,0.013550135501355,0.006323396567299,0.0,0.0258899676375404,0.0,0.0455927051671732,0.0,0.0255863539445629,1191.0,284.0,43.0,141.0,0.9800405695039804,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.1543550165380375,0.7976513098464318,0.040650406504065,0.0,0.0,0.0,24.333333333333314,23.049999999999955,43.85000000000002,0.0,0.0,1.0082621679307395,0.7976513098464318,0.040650406504065,0.037037037037037,0.024390243902439,0.00903342366757,0.002710027100271,0.0,0.029126213592233,0.0,0.0364741641337386,0.0,0.0127931769722814,1191.0,284.0,35.0,97.0,1.1119558258642763,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,early_sens,2014.0,1107,907,0.3572474377745241,34.712294787366446,0.1940463065049614,0.8202348690153568,0.050587172538392,0.0,0.0,0.0,24.11666666666666,21.70416666666667,30.525000000000038,0.0,0.0,1.0082621679307395,0.8202348690153568,0.050587172538392,0.04516711833785,0.028003613369467,0.009936766034327,0.002710027100271,0.0,0.0355987055016181,0.0,0.0395136778115501,0.0,0.0149253731343283,1191.0,284.0,44.0,123.0,1.1049169267099606,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_mle,native,2014.0,1107,907,0.3147877013177159,30.58665319378601,0.1411245865490628,0.7741644083107497,0.03613369467028,0.0,0.0,0.0,24.375,23.175,42.462500000000006,0.0,0.0,1.0082621679307395,0.7741644083107497,0.03613369467028,0.034327009936766,0.022583559168925,0.007226738934056,0.002710027100271,0.0,0.0258899676375404,0.0,0.033434650455927,0.0,0.0127931769722814,1191.0,284.0,31.0,91.0,1.065602632186562,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_trunc,soc_rate,2014.0,1107,907,0.3250366032210834,31.58249771637439,0.2646085997794928,0.4299909665763324,0.089430894308943,0.0,0.0,0.0,24.91666666666663,20.041666666666657,48.39166666666662,0.0,0.0,1.0082621679307395,0.4299909665763324,0.08130081300813,0.075880758807588,0.057813911472448,0.02710027100271,0.013550135501355,0.0,0.058252427184466,0.0,0.0699088145896656,0.0,0.0490405117270788,1191.0,284.0,97.0,225.0,1.2633081095267258,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_trunc,native,2014.0,1107,907,0.5469985358711567,53.149644805574205,0.4465270121278941,0.8256549232158988,0.1309846431797651,0.0,0.0,0.0,24.64999999999999,20.7,48.116666666666674,0.0,0.0,1.0082621679307395,0.8256549232158988,0.1219512195121951,0.1129177958446251,0.08130081300813,0.034327009936766,0.017163504968383,0.0,0.0841423948220064,0.0,0.1094224924012158,0.0,0.0597014925373134,1191.0,284.0,135.0,356.0,1.153043515676544,any,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_trunc,soc_rate,2014.0,1107,907,0.330307467057101,32.09464632799128,0.2866593164277839,0.5736224028906955,0.074977416440831,0.0,0.0,0.0,24.40000000000001,22.99166666666665,47.583333333333286,0.0,0.0,1.0082621679307395,0.5736224028906955,0.074977416440831,0.07226738934056,0.044263775971093,0.01806684733514,0.005420054200542,0.0,0.058252427184466,0.0,0.0577507598784194,0.0,0.0255863539445629,1191.0,284.0,76.0,203.0,1.1423595335453582,toward_bound,168.0,all,,,,all
ALB,pop_abnormal,Gaussian_trunc,early_sens,2014.0,1107,907,0.264714494875549,25.72124138342563,0.1918412348401323,0.5465221318879856,0.050587172538392,0.0,0.0,0.0,24.11666666666666,22.387500000000006,30.525000000000038,0.0,0.0,1.0082621679307395,0.5465221318879856,0.050587172538392,0.046973803071364,0.028003613369467,0.009936766034327,0.002710027100271,0.0,0.0355987055016181,0.0,0.0364741641337386,0.0,0.0170575692963752,1191.0,284.0,44.0,123.0,1.1049169267099606,toward_bound,168.0,all,,,,all
