analyte,direction,target_sensitivity,method,n_strata,n,n_events,prevalence,flag_rate,sensitivity,specificity,ppv,rr,tp,fp,tn,fn,n_population,n_events_population,auc,auc_lo,auc_hi,auprc,auprc_norm,auc_within_position,n_endpoints,age_band,sex,tp_norm,fp_norm,pop_pos,pop_neg,gap_hours,horizon_hours,min_normal_frac
ALB,low,0.2,NORMA_q_age,12.0,181,30,0.1610738255033557,0.0914988814317673,0.1666666666666666,0.913907284768212,0.2811735941320293,1.7456193969030154,5.0,13.0,138.0,25.0,312.0,50.0,0.6501103752759382,0.5465858190697883,0.753634931482088,0.2465375021006118,1.4874429293403584,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_set,12.0,181,30,0.1610738255033557,0.0779642058165548,0.1666666666666666,0.933774834437086,0.3299856527977044,2.0486609277857486,5.0,10.0,141.0,25.0,312.0,50.0,0.6562913907284768,0.5533876029703655,0.759195178486588,0.2533692534450744,1.5286611624519493,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_co,12.0,181,30,0.1610738255033557,0.1017897091722595,0.1333333333333333,0.9006622516556292,0.2087912087912088,1.2962454212454213,4.0,15.0,136.0,26.0,312.0,50.0,0.6278145695364238,0.523786439199231,0.7318426998736166,0.258612080338049,1.5602928847062294,,,all,all,,,,,24.0,168.0,0.8
ALB,low,0.2,NORMA_q_age_set_co,12.0,181,30,0.1610738255033557,0.0855704697986577,0.1666666666666666,0.9271523178807948,0.3006535947712418,1.866557734204793,5.0,11.0,140.0,25.0,312.0,50.0,0.6355408388520971,0.5294194205890104,0.7416622571151839,0.2466493889770455,1.4881179801615083,,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,PopRI,14.0,5318,352,0.0661741085769354,0.0352907046770515,0.1988636363636363,0.9762384212645993,0.3730524051020429,5.637437558653689,70.0,118.0,4848.0,282.0,6226.0,412.0,0.8215107046095266,0.7982916754651512,0.8447297337539019,0.2728158524252591,4.12168949772025,0.5391493440951518,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,PerRI,14.0,5318,352,0.0661741085769354,0.0991938060903658,0.1988636363636363,0.9083769633507852,0.1327228259144162,2.005660956658144,70.0,455.0,4511.0,282.0,6226.0,412.0,0.6608254311133892,0.6320781612186082,0.6895727010081703,0.1131711475724861,1.7097845533820493,0.5026931655481756,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Cohen_m2,14.0,5318,352,0.0661741085769354,0.0518313942076389,0.1960227272727272,0.9609343536045106,0.2485791306562523,3.756440940451037,69.0,194.0,4772.0,283.0,6226.0,412.0,0.7297526589902245,0.6995899518540852,0.7599153661263637,0.2062350630442816,3.11578995815196,0.481410572076229,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Cohen_m3,14.0,5318,352,0.0661741085769354,0.076392967845662,0.1960227272727272,0.9339508658880388,0.1686569232244852,2.548684475717586,69.0,328.0,4638.0,283.0,6226.0,412.0,0.6630107457987039,0.6323137390293873,0.6937077525680205,0.1600728921929289,2.4183739792102155,0.456844545346295,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Cohen_m4,14.0,5318,352,0.0661741085769354,0.0629485322636182,0.1960227272727272,0.9476439790575916,0.2046783689710102,3.093027973819198,69.0,260.0,4706.0,283.0,6226.0,412.0,0.7005483881301944,0.6692859817834735,0.7318107944769152,0.1942313825107306,2.934438898272913,0.429514339046134,,all,all,,,,,24.0,168.0,0.8
ALP,high,0.2,Gaussian_mle,14.0,5318,352,0.0661741085769354,0.070266579245879,0.1960227272727272,0.941401530406766,0.1833617496555736,2.770898673193208,69.0,291.0,4675.0,283.0,6226.0,412.0,0.7183335316515944,0.6902399617833208,0.746427101519868,0.1564472810198662,2.3635984104080925,0.5017462588299354,,all,all,,,,,24.0,168.0,0.8
