subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
all,ALP,Gaussian_eb,mortality,first,z,15806,2047,z,1.044,1.008,1.081,0.01555,0.0191815533482167
all,ALP,Gaussian_eb,mortality,first,category,15806,2047,low,1.358,1.046,1.764,0.02171,0.034742259256677
all,ALP,Gaussian_eb,mortality,first,category,15806,2047,high,1.145,1.045,1.254,0.00351,0.0063934852384747
all,ALP,NORMA_q_age_set,mortality,first,binary,15806,2047,abnormal,1.125,1.029,1.231,0.00993,0.0146739792251358
all,ALP,NORMA_q_age_set,mortality,first,z,15806,2047,z,1.058,1.016,1.101,0.0065,0.0082467352852269
all,ALP,NORMA_q_age_set,mortality,first,category,15806,2047,low,1.413,1.099,1.817,0.00698,0.0123399747424591
all,ALP,NORMA_q_age_set,mortality,first,category,15806,2047,high,1.105,1.008,1.211,0.03348,0.0501730407262337
all,ALP,NORMA_334f7e21,mortality,first,binary,15806,2047,abnormal,1.15,1.051,1.259,0.00228,0.003431583319865
all,ALP,NORMA_334f7e21,mortality,first,z,15806,2047,z,1.053,1.01,1.098,0.01497,0.0185382501655418
all,ALP,NORMA_334f7e21,mortality,first,category,15806,2047,low,1.487,1.152,1.919,0.00231,0.0043625623606091
all,ALP,NORMA_334f7e21,mortality,first,category,15806,2047,high,1.128,1.028,1.237,0.01059,0.01828361342934
all,ALP,NORMA_q_age,mortality,first,binary,15806,2047,abnormal,1.153,1.054,1.262,0.00195,0.0029501155276167
all,ALP,NORMA_q_age,mortality,first,z,15806,2047,z,1.07,1.026,1.117,0.00179,0.0023698729460517
all,ALP,NORMA_q_age,mortality,first,category,15806,2047,low,1.569,1.223,2.014,0.00039,0.0008230151499729
all,ALP,NORMA_q_age,mortality,first,category,15806,2047,high,1.125,1.026,1.234,0.01262,0.0214753376502103
all,ALP,NORMA_q_age_set_co,mortality,first,binary,15806,2047,abnormal,1.137,1.041,1.243,0.00447,0.0066793902012788
all,ALP,NORMA_q_age_set_co,mortality,first,z,15806,2047,z,1.053,1.015,1.092,0.00601,0.0076568217741455
all,ALP,NORMA_q_age_set_co,mortality,first,category,15806,2047,low,1.347,1.108,1.637,0.00281,0.0052517626440909
all,ALP,NORMA_q_age_set_co,mortality,first,category,15806,2047,high,1.111,1.012,1.219,0.02664,0.0414493898330136
all,ALT,PopRI,mortality,first,binary,14539,1802,abnormal,1.034,0.94,1.138,0.49259,0.5402556915768408
all,ALT,PopRI,mortality,first,z,14539,1802,z,1.02,0.983,1.059,0.30022,0.3418571244713674
all,ALT,PopRI,mortality,first,category,14539,1802,low,0.646,0.517,0.806,0.00011,0.0002431860099925
all,ALT,PopRI,mortality,first,category,14539,1802,high,1.133,1.025,1.252,0.01481,0.0246332263769429
all,ALT,PerRI,mortality,first,binary,14539,1802,abnormal,1.125,1.023,1.237,0.01545,0.0224066597163858
all,ALT,PerRI,mortality,first,z,14539,1802,z,1.022,1.005,1.039,0.01187,0.0147574547141874
all,ALT,PerRI,mortality,first,category,14539,1802,low,1.128,0.994,1.28,0.06234,0.0868373735044953
all,ALT,PerRI,mortality,first,category,14539,1802,high,1.123,1.012,1.246,0.02826,0.0435612221892716
all,ALT,Cohen_m2,mortality,first,binary,14539,1802,abnormal,0.981,0.893,1.076,0.67872,0.7016466653366218
all,ALT,Cohen_m2,mortality,first,z,14539,1802,z,0.986,0.947,1.027,0.50431,0.5520824547392598
all,ALT,Cohen_m2,mortality,first,category,14539,1802,low,0.799,0.696,0.918,0.00157,0.0030303982793118
all,ALT,Cohen_m2,mortality,first,category,14539,1802,high,1.08,0.975,1.196,0.1392,0.1789493142086658
all,ALT,Cohen_m3,mortality,first,binary,14539,1802,abnormal,1.148,1.04,1.268,0.00624,0.0092641802900527
all,ALT,Cohen_m3,mortality,first,z,14539,1802,z,1.003,0.962,1.046,0.89723,0.9178219046275156
all,ALT,Cohen_m3,mortality,first,category,14539,1802,low,1.098,0.981,1.23,0.10301,0.1364257170142851
all,ALT,Cohen_m3,mortality,first,category,14539,1802,high,1.207,1.076,1.355,0.00134,0.0026249364214486
all,ALT,Cohen_m4,mortality,first,binary,14539,1802,abnormal,1.077,0.98,1.183,0.1233,0.1578646492597894
all,ALT,Cohen_m4,mortality,first,z,14539,1802,z,1.006,0.956,1.059,0.81098,0.8490816412096052
all,ALT,Cohen_m4,mortality,first,category,14539,1802,low,0.986,0.877,1.108,0.80991,0.8252464253715144
all,ALT,Cohen_m4,mortality,first,category,14539,1802,high,1.159,1.04,1.292,0.00762,0.0133498366492471
all,ALT,Gaussian_mle,mortality,first,binary,14433,1784,abnormal,1.047,0.954,1.149,0.33355,0.3738742396110314
all,ALT,Gaussian_mle,mortality,first,z,14433,1784,z,1.009,0.987,1.032,0.41931,0.4672263930811682
all,ALT,Gaussian_mle,mortality,first,category,14433,1784,low,0.824,0.696,0.975,0.02426,0.0383011871976795
all,ALT,Gaussian_mle,mortality,first,category,14433,1784,high,1.119,1.013,1.235,0.02663,0.0414493898330136
all,ALT,Gaussian_trunc,mortality,first,binary,14433,1784,abnormal,1.006,0.916,1.105,0.89872,0.9076182570102652
all,ALT,Gaussian_trunc,mortality,first,z,14433,1784,z,1.007,0.986,1.029,0.51052,0.5569276862674741
all,ALT,Gaussian_trunc,mortality,first,category,14433,1784,low,0.969,0.832,1.129,0.68802,0.7158297573234849
all,ALT,Gaussian_trunc,mortality,first,category,14433,1784,high,1.016,0.92,1.122,0.7483,0.770242875055245
all,ALT,Gaussian_eb,mortality,first,binary,14539,1802,abnormal,1.007,0.917,1.106,0.88345,0.8951508441693438
all,ALT,Gaussian_eb,mortality,first,z,14539,1802,z,1.011,0.982,1.04,0.47012,0.5201352686524664
all,ALT,Gaussian_eb,mortality,first,category,14539,1802,low,0.691,0.568,0.842,0.00024,0.000507311656864
all,ALT,Gaussian_eb,mortality,first,category,14539,1802,high,1.093,0.991,1.206,0.07651,0.1046067417938238
all,ALT,NORMA_q_age_set,mortality,first,binary,14539,1802,abnormal,1.02,0.929,1.121,0.67482,0.699985308083025
all,ALT,NORMA_q_age_set,mortality,first,z,14539,1802,z,1.0,0.96,1.042,0.98646,0.9864628709353284
