analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
PLT,NORMA_q_age_set,mortality,pop_normal,43751.0,3282.0,rate_of:PerRI,0.761121267519805,0.2636586028812177,0.0773446450134687,32297.0
RBC,PerRI,mortality,pop_normal,8523.0,646.0,native,0.4473684210526316,0.6202869112606322,0.0881097560975609,3280.0
RBC,PerRI,mortality,pop_normal,8523.0,646.0,rate_of:PerRI,0.4473684210526316,0.6202869112606322,0.0881097560975609,3280.0
RBC,NORMA_q_age_set,mortality,pop_normal,8523.0,646.0,native,0.1191950464396284,0.9192586009902248,0.1079943899018232,713.0
RBC,NORMA_q_age_set,mortality,pop_normal,8523.0,646.0,rate_of:PerRI,0.3885448916408668,0.6154627396216834,0.0765243902439024,3280.0
RDW,PerRI,mortality,pop_normal,19605.0,1044.0,native,0.5009578544061303,0.5681805937180109,0.0612555633637854,8538.0
RDW,PerRI,mortality,pop_normal,19605.0,1044.0,rate_of:PerRI,0.5009578544061303,0.5681805937180109,0.0612555633637854,8538.0
RDW,NORMA_q_age_set,mortality,pop_normal,19605.0,1044.0,native,0.1618773946360153,0.8584128010344271,0.0604218805863425,2797.0
RDW,NORMA_q_age_set,mortality,pop_normal,19605.0,1044.0,rate_of:PerRI,0.4722222222222222,0.5665643014923765,0.057741859920356,8538.0
TBIL,PerRI,mortality,pop_normal,10881.0,1233.0,native,0.3633414436334144,0.6793117744610282,0.1264822134387351,3542.0
TBIL,PerRI,mortality,pop_normal,10881.0,1233.0,rate_of:PerRI,0.3641524736415247,0.6788971807628524,0.1265858471948125,3547.0
TBIL,NORMA_q_age_set,mortality,pop_normal,10881.0,1233.0,native,0.194647201946472,0.8509535655058044,0.1430274135876043,1678.0
TBIL,NORMA_q_age_set,mortality,pop_normal,10881.0,1233.0,rate_of:PerRI,0.3714517437145174,0.6803482587064676,0.1293054771315641,3542.0
TC,PerRI,mortality,pop_normal,24.0,3.0,native,1.0,0.2857142857142857,0.1666666666666666,18.0
TC,PerRI,mortality,pop_normal,24.0,3.0,rate_of:PerRI,1.0,0.2857142857142857,0.1666666666666666,18.0
TC,NORMA_q_age_set,mortality,pop_normal,24.0,3.0,native,0.6666666666666666,0.9523809523809524,0.6666666666666666,3.0
TC,NORMA_q_age_set,mortality,pop_normal,24.0,3.0,rate_of:PerRI,1.0,0.2857142857142857,0.1666666666666666,18.0
TGL,PerRI,mortality,pop_normal,221.0,41.0,native,0.5853658536585366,0.4222222222222222,0.1875,128.0
TGL,PerRI,mortality,pop_normal,221.0,41.0,rate_of:PerRI,0.5853658536585366,0.4222222222222222,0.1875,128.0
TGL,NORMA_q_age_set,mortality,pop_normal,221.0,41.0,native,0.3170731707317073,0.7777777777777778,0.2452830188679245,53.0
TGL,NORMA_q_age_set,mortality,pop_normal,221.0,41.0,rate_of:PerRI,0.6097560975609756,0.4277777777777777,0.1953125,128.0
TP,PerRI,mortality,pop_normal,8338.0,860.0,native,0.4965116279069767,0.5383792457876437,0.1100799175045114,3879.0
TP,PerRI,mortality,pop_normal,8338.0,860.0,rate_of:PerRI,0.4965116279069767,0.5383792457876437,0.1100799175045114,3879.0
