model_type,method,outcome,subset,panel,n_test,n_events_test,concordance_test,concordance_lower,concordance_upper,time_window
penalized_cox,Cohen_m3,prolonged_los,all,all,1657.0,292.0,0.5156,0.473,0.5587,7
penalized_cox,Cohen_m3,prolonged_los,all,all,1657.0,292.0,0.5156,0.473,0.5587,all
penalized_cox,Cohen_m3,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5156,0.473,0.5587,1
penalized_cox,Cohen_m3,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5156,0.473,0.5587,14
penalized_cox,Cohen_m3,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5156,0.473,0.5587,2
penalized_cox,Cohen_m3,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5156,0.473,0.5587,30
penalized_cox,Cohen_m3,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5156,0.473,0.5587,7
penalized_cox,Cohen_m3,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5156,0.473,0.5587,all
penalized_cox,Cohen_m3,sepsis,all,all,1655.0,364.0,0.5535,0.5246,0.5785,1
penalized_cox,Cohen_m3,sepsis,all,all,1655.0,364.0,0.5535,0.5246,0.5785,14
penalized_cox,Cohen_m3,sepsis,all,all,1655.0,364.0,0.5535,0.5246,0.5785,2
penalized_cox,Cohen_m3,sepsis,all,all,1655.0,364.0,0.5535,0.5246,0.5785,30
penalized_cox,Cohen_m3,sepsis,all,all,1655.0,364.0,0.5535,0.5246,0.5785,7
penalized_cox,Cohen_m3,sepsis,all,all,1655.0,364.0,0.5535,0.5246,0.5785,all
penalized_cox,Cohen_m3,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5535,0.5246,0.5785,1
penalized_cox,Cohen_m3,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5535,0.5246,0.5785,14
penalized_cox,Cohen_m3,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5535,0.5246,0.5785,2
penalized_cox,Cohen_m3,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5535,0.5246,0.5785,30
penalized_cox,Cohen_m3,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5535,0.5246,0.5785,7
penalized_cox,Cohen_m3,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5535,0.5246,0.5785,all
penalized_cox,Cohen_m4,aki,all,all,1657.0,238.0,0.5725,0.5323,0.6024,1
penalized_cox,Cohen_m4,aki,all,all,1657.0,238.0,0.5725,0.5323,0.6024,14
penalized_cox,Cohen_m4,aki,all,all,1657.0,238.0,0.5725,0.5323,0.6024,2
penalized_cox,Cohen_m4,aki,all,all,1657.0,238.0,0.5725,0.5323,0.6024,30
penalized_cox,Cohen_m4,aki,all,all,1657.0,238.0,0.5725,0.5323,0.6024,7
penalized_cox,Cohen_m4,aki,all,all,1657.0,238.0,0.5725,0.5323,0.6024,all
penalized_cox,Cohen_m4,aki,all_eval_pop_normal,all,1657.0,238.0,0.5725,0.5323,0.6024,1
penalized_cox,Cohen_m4,aki,all_eval_pop_normal,all,1657.0,238.0,0.5725,0.5323,0.6024,14
penalized_cox,Cohen_m4,aki,all_eval_pop_normal,all,1657.0,238.0,0.5725,0.5323,0.6024,2
penalized_cox,Cohen_m4,aki,all_eval_pop_normal,all,1657.0,238.0,0.5725,0.5323,0.6024,30
penalized_cox,Cohen_m4,aki,all_eval_pop_normal,all,1657.0,238.0,0.5725,0.5323,0.6024,7
penalized_cox,Cohen_m4,aki,all_eval_pop_normal,all,1657.0,238.0,0.5725,0.5323,0.6024,all
penalized_cox,Cohen_m4,mortality,all,all,1660.0,207.0,0.7026,0.6575,0.7406,1
penalized_cox,Cohen_m4,mortality,all,all,1660.0,207.0,0.7026,0.6575,0.7406,14
penalized_cox,Cohen_m4,mortality,all,all,1660.0,207.0,0.7026,0.6575,0.7406,2
penalized_cox,Cohen_m4,mortality,all,all,1660.0,207.0,0.7026,0.6575,0.7406,30
penalized_cox,Cohen_m4,mortality,all,all,1660.0,207.0,0.7026,0.6575,0.7406,7
penalized_cox,Cohen_m4,mortality,all,all,1660.0,207.0,0.7026,0.6575,0.7406,all
penalized_cox,Cohen_m4,mortality,all_eval_pop_normal,all,1660.0,207.0,0.7026,0.6575,0.7406,1
penalized_cox,Cohen_m4,mortality,all_eval_pop_normal,all,1660.0,207.0,0.7026,0.6575,0.7406,14
penalized_cox,Cohen_m4,mortality,all_eval_pop_normal,all,1660.0,207.0,0.7026,0.6575,0.7406,2
penalized_cox,Cohen_m4,mortality,all_eval_pop_normal,all,1660.0,207.0,0.7026,0.6575,0.7406,30
penalized_cox,Cohen_m4,mortality,all_eval_pop_normal,all,1660.0,207.0,0.7026,0.6575,0.7406,7
penalized_cox,Cohen_m4,mortality,all_eval_pop_normal,all,1660.0,207.0,0.7026,0.6575,0.7406,all
penalized_cox,Cohen_m4,prolonged_los,all,all,1657.0,292.0,0.5273,0.4826,0.5672,1
penalized_cox,Cohen_m4,prolonged_los,all,all,1657.0,292.0,0.5273,0.4826,0.5672,14
penalized_cox,Cohen_m4,prolonged_los,all,all,1657.0,292.0,0.5273,0.4826,0.5672,2
penalized_cox,Cohen_m4,prolonged_los,all,all,1657.0,292.0,0.5273,0.4826,0.5672,30
penalized_cox,Cohen_m4,prolonged_los,all,all,1657.0,292.0,0.5273,0.4826,0.5672,7
penalized_cox,Cohen_m4,prolonged_los,all,all,1657.0,292.0,0.5273,0.4826,0.5672,all
penalized_cox,Cohen_m4,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5273,0.4826,0.5672,1
penalized_cox,Cohen_m4,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5273,0.4826,0.5672,14
penalized_cox,Cohen_m4,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5273,0.4826,0.5672,2
penalized_cox,Cohen_m4,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5273,0.4826,0.5672,30
penalized_cox,Cohen_m4,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5273,0.4826,0.5672,7
penalized_cox,Cohen_m4,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5273,0.4826,0.5672,all
penalized_cox,Cohen_m4,sepsis,all,all,1655.0,364.0,0.5579,0.5326,0.5863,1
penalized_cox,Cohen_m4,sepsis,all,all,1655.0,364.0,0.5579,0.5326,0.5863,14
penalized_cox,Cohen_m4,sepsis,all,all,1655.0,364.0,0.5579,0.5326,0.5863,2
penalized_cox,Cohen_m4,sepsis,all,all,1655.0,364.0,0.5579,0.5326,0.5863,30
penalized_cox,Cohen_m4,sepsis,all,all,1655.0,364.0,0.5579,0.5326,0.5863,7
penalized_cox,Cohen_m4,sepsis,all,all,1655.0,364.0,0.5579,0.5326,0.5863,all
