subset,outcome,analyte,method,n,n_events,auc,auc_lo,auc_hi,auc_base,auc_adj,auc_gain,prevalence,ap,ap_lift,delta_vs_norma,p_vs_norma
all,mortality,ALP,Gaussian_eb,13536,1903,0.5736,0.56,0.5873,0.5416,0.5749,0.0333,0.1406,0.1712,1.218,0.0011,0.818045
all,mortality,ALP,Gaussian_mle,13519,1899,0.5626,0.5489,0.5764,0.5233,0.5536,0.0304,0.1405,0.1655,1.178,-0.0099,0.034885
all,mortality,ALP,Gaussian_trunc,13519,1899,0.5603,0.5464,0.5742,0.5233,0.5505,0.0272,0.1405,0.1647,1.172,-0.0123,0.021372
all,mortality,ALP,NORMA_334f7e21,13536,1903,0.5735,0.5595,0.5874,0.5416,0.5775,0.0359,0.1406,0.1788,1.272,0.0009,0.505853
all,mortality,ALP,NORMA_q_age,13536,1903,0.5759,0.5619,0.5899,0.5416,0.5783,0.0367,0.1406,0.181,1.287,0.0033,0.031604
all,mortality,ALP,NORMA_q_age_set,13536,1903,0.5725,0.5586,0.5865,0.5416,0.5752,0.0336,0.1406,0.1786,1.27,,
all,mortality,ALP,NORMA_q_age_set_co,13536,1903,0.5698,0.556,0.5837,0.5416,0.5718,0.0302,0.1406,0.1759,1.251,-0.0027,0.355448
all,mortality,ALP,PerRI,13536,1903,0.5308,0.5167,0.5449,0.5416,0.5502,0.0087,0.1406,0.1547,1.101,-0.0418,1e-06
all,mortality,ALP,PopRI,13536,1903,0.5589,0.545,0.5728,0.5416,0.5698,0.0282,0.1406,0.1651,1.175,-0.0136,0.015974
all,mortality,ALT,Cohen_m2,12377,1660,0.5325,0.5173,0.5477,0.5506,0.5649,0.0143,0.1341,0.1549,1.155,-0.0214,0.001303
all,mortality,ALT,Cohen_m3,12377,1660,0.5402,0.5251,0.5552,0.5506,0.5698,0.0192,0.1341,0.1529,1.14,-0.0138,0.081322
all,mortality,ALT,Cohen_m4,12377,1660,0.5439,0.5289,0.5588,0.5506,0.5707,0.0201,0.1341,0.1544,1.151,-0.0101,0.189442
all,mortality,ALT,Gaussian_eb,12377,1660,0.54,0.5247,0.5552,0.5506,0.5677,0.0171,0.1341,0.1555,1.16,-0.014,0.006521
all,mortality,ALT,Gaussian_mle,12278,1644,0.5343,0.5191,0.5495,0.535,0.5522,0.0172,0.1339,0.1493,1.115,-0.0192,0.000296
all,mortality,ALT,Gaussian_trunc,12278,1644,0.5318,0.5167,0.5469,0.535,0.55,0.015,0.1339,0.1473,1.1,-0.0217,0.000663
all,mortality,ALT,NORMA_334f7e21,12377,1660,0.5552,0.54,0.5703,0.5506,0.5752,0.0245,0.1341,0.1662,1.239,0.0012,0.450155
