design,n,n_events,n_nonevents,n_reclassified,events_up,events_down,nonevents_up,nonevents_down,NRI,NRI_events,NRI_nonevents,NRI_se,NRI_p,ref_high_risk_rate,new_high_risk_rate,outcome,ref_method,new_method,subset,ref_mean_abnormal,new_mean_abnormal
refit,1655,364,1291,296,36,25,136,99,0.0016,0.0302,-0.0287,,,0.5003,0.5293,sepsis,PopRI,Cohen_m3,all,,
refit,1655,364,1291,347,43,32,148,124,0.0116,0.0302,-0.0186,,,0.5003,0.5215,sepsis,PopRI,Cohen_m4,all,,
refit,1655,364,1291,238,31,22,99,86,0.0147,0.0247,-0.0101,,,0.5003,0.5136,sepsis,PopRI,Gaussian_mle,all,,
refit,1655,364,1291,417,54,49,170,144,-0.0064,0.0137,-0.0201,,,0.5003,0.519,sepsis,PopRI,Gaussian_trunc,all,,
refit,1655,364,1291,140,17,17,59,47,-0.0093,0.0,-0.0093,,,0.5003,0.5076,sepsis,PopRI,Gaussian_eb,all,,
refit,1655,364,1291,171,19,16,78,58,-0.0073,0.0082,-0.0155,,,0.5003,0.5142,sepsis,PopRI,NORMA_q_age_set,all,,
refit,1655,364,1291,173,23,18,80,52,-0.008,0.0137,-0.0217,,,0.5003,0.5202,sepsis,PopRI,NORMA_334f7e21,all,,
refit,1655,364,1291,166,19,18,75,54,-0.0135,0.0027,-0.0163,,,0.5003,0.5136,sepsis,PopRI,NORMA_q_age,all,,
refit,1655,364,1291,255,30,29,107,89,-0.0112,0.0027,-0.0139,,,0.5003,0.5118,sepsis,PopRI,NORMA_q_age_set_co,all,,
refit,1657,292,1365,546,50,48,229,219,-0.0005,0.0068,-0.0073,,,0.5003,0.5075,prolonged_los,PopRI,PerRI,all,,
refit,1657,292,1365,511,54,44,224,189,0.0086,0.0342,-0.0256,,,0.5003,0.5275,prolonged_los,PopRI,Cohen_m2,all,,
refit,1657,292,1365,378,27,40,148,163,-0.0335,-0.0445,0.011,,,0.5003,0.4834,prolonged_los,PopRI,Cohen_m3,all,,
refit,1657,292,1365,409,31,47,175,156,-0.0687,-0.0548,-0.0139,,,0.5003,0.5021,prolonged_los,PopRI,Cohen_m4,all,,
refit,1657,292,1365,389,35,30,158,166,0.023,0.0171,0.0059,,,0.5003,0.4985,prolonged_los,PopRI,Gaussian_mle,all,,
refit,1657,292,1365,523,47,43,233,200,-0.0105,0.0137,-0.0242,,,0.5003,0.5226,prolonged_los,PopRI,Gaussian_trunc,all,,
refit,1657,292,1365,290,29,26,107,128,0.0257,0.0103,0.0154,,,0.5003,0.4894,prolonged_los,PopRI,Gaussian_eb,all,,
refit,1657,292,1365,258,23,17,97,121,0.0381,0.0205,0.0176,,,0.5003,0.4894,prolonged_los,PopRI,NORMA_q_age_set,all,,
refit,1657,292,1365,248,28,17,85,118,0.0618,0.0377,0.0242,,,0.5003,0.487,prolonged_los,PopRI,NORMA_334f7e21,all,,
refit,1657,292,1365,258,23,20,97,118,0.0257,0.0103,0.0154,,,0.5003,0.4894,prolonged_los,PopRI,NORMA_q_age,all,,
refit,1657,292,1365,286,25,31,104,126,-0.0044,-0.0205,0.0161,,,0.5003,0.4834,prolonged_los,PopRI,NORMA_q_age_set_co,all,,
swap,1660,207,1453,1567,191,0,1376,0,-0.0243,0.9227,-0.947,0.0195,0.2069,,,mortality,PopRI,PerRI,all,10.95,14.29
swap,1660,207,1453,1411,169,0,1242,0,-0.0384,0.8164,-0.8548,0.0286,0.1696,,,mortality,PopRI,Cohen_m2,all,10.95,12.75
swap,1660,207,1453,1493,184,0,1309,0,-0.012,0.8889,-0.9009,0.0231,0.58,,,mortality,PopRI,Cohen_m3,all,10.95,13.1
swap,1660,207,1453,1452,176,0,1276,0,-0.0279,0.8502,-0.8782,0.0262,0.3043,,,mortality,PopRI,Cohen_m4,all,10.95,12.96
swap,1660,207,1453,1223,138,0,1085,0,-0.0801,0.6667,-0.7467,0.0337,0.0183,,,mortality,PopRI,Gaussian_mle,all,10.95,12.39
swap,1660,207,1453,1615,198,0,1417,0,-0.0187,0.9565,-0.9752,0.0145,0.2059,,,mortality,PopRI,Gaussian_trunc,all,10.95,14.28
swap,1660,207,1453,773,81,0,692,0,-0.085,0.3913,-0.4763,0.0355,0.0173,,,mortality,PopRI,Gaussian_eb,all,10.95,11.6
swap,1660,207,1453,637,68,0,569,0,-0.0631,0.3285,-0.3916,0.0338,0.0563,,,mortality,PopRI,NORMA_q_age_set,all,10.95,11.48
swap,1660,207,1453,699,81,0,618,0,-0.034,0.3913,-0.4253,0.0352,0.3249,,,mortality,PopRI,NORMA_334f7e21,all,10.95,11.54
