outcome,analyte,method,n,n_flagged,flag_rate,logrank_p,rr_24h,rr_72h,rr_168h,rr_720h,landmark_hours,anchor,target_sensitivity
aki,ALB,NORMA_q_age_set_co,218,31,0.1422018348623853,0.8697703115502241,,1.6793944491169526,0.7762489190952346,0.3426594142153951,72.0,sensitivity,0.25
aki,ALB,NORMA_q_age_set_co,218,71,0.3256880733944954,0.7008981383226605,,2.37902097902102,0.8425699300699306,0.3480495408206245,72.0,soc_rate,0.25
aki,ALB,PerRI,719,215,0.2990264255910987,0.073652884055621,0.2677515835496813,0.1868647689585029,0.5130814919020099,1.3411449444169503,0.0,sensitivity,0.25
aki,ALB,PerRI,502,142,0.2828685258964143,0.7054077799839711,2.891926736757852,0.3818837480840734,0.5995911745686636,2.504366174906661,24.0,sensitivity,0.25
aki,ALB,PerRI,502,115,0.2290836653386454,0.2366920312185162,0.9771259688995916,0.1981210882356407,0.0945821154607424,1.828587565574457,24.0,soc_rate,0.25
aki,ALB,PerRI,218,39,0.1788990825688073,0.9747566940733684,0.0,0.0,0.0,3.958360952093933,72.0,sensitivity,0.25
aki,ALB,PerRI,218,71,0.3256880733944954,0.5901055518960119,0.0,0.0,0.0,2.793203907600184,72.0,soc_rate,0.25
aki,ALB,PopRI,719,253,0.3518776077885953,0.1899441934306729,0.2335484736834731,1.123003769439407,0.6490781698654764,0.2933806196923996,0.0,sensitivity,0.25
aki,ALB,PopRI,502,173,0.3446215139442231,0.6589759056677362,0.5494777836784545,1.1079501183128804,0.4558547027758842,0.2769819460435089,24.0,sensitivity,0.25
aki,ALB,PopRI,502,115,0.2290836653386454,0.4256346692706381,0.0,0.8683099044397355,0.3941214894815403,0.2413337042328464,24.0,soc_rate,0.25
aki,ALB,PopRI,218,99,0.4541284403669725,0.2646309862791178,0.0,0.0,0.9439633214467924,0.3358100761145391,72.0,sensitivity,0.25
aki,ALB,PopRI,218,71,0.3256880733944954,0.1321493920683202,0.0,0.0,0.0,0.0,72.0,soc_rate,0.25
aki,ALB,StandardOfCare,502,115,0.2290836653386454,0.1621592210279408,1.007664145081198,1.2089234712697987,4.212779808226348,2.010622428972323,24.0,sensitivity,0.25
aki,ALB,StandardOfCare,502,115,0.2290836653386454,0.1621592210279408,1.007664145081198,1.2089234712697987,4.212779808226348,2.010622428972323,24.0,soc_rate,0.25
aki,ALB,StandardOfCare,218,71,0.3256880733944954,0.6811393125459267,0.0,1.0697674418604466,3.1120507399576915,0.7780126849894269,72.0,sensitivity,0.25
aki,ALB,StandardOfCare,218,71,0.3256880733944954,0.6811393125459267,0.0,1.0697674418604466,3.1120507399576915,0.7780126849894269,72.0,soc_rate,0.25
aki,ALP,Cohen_m2,4114,917,0.2228974234321828,0.7366085422245319,1.4170800106431805,1.1583702920979486,0.9684340890044836,0.7015455641832448,0.0,sensitivity,0.25
aki,ALP,Cohen_m2,3114,747,0.2398843930635838,0.6322048172979076,1.2812989356490554,0.8865898535510252,0.9661785952952566,0.695657858417397,24.0,sensitivity,0.25
aki,ALP,Cohen_m2,3114,150,0.048169556840077,0.7820477938419712,2.2524686356452963,1.0227810231396268,0.9354892125625436,1.0626840617638218,24.0,soc_rate,0.25
aki,ALP,Cohen_m2,1581,310,0.196078431372549,0.8967986316610662,1.2799476457057417,1.013361099917068,1.0298071956419124,0.6925820288209008,72.0,sensitivity,0.25
aki,ALP,Cohen_m2,1581,181,0.1144845034788108,0.769145571594746,1.739584681382497,0.7068841418177084,0.8388095256593674,0.5830031411885956,72.0,soc_rate,0.25
aki,ALP,Cohen_m2,503,176,0.3499005964214712,0.4287020979655418,0.933034174336308,0.7135176616188953,0.5822862119044167,0.3209053418673245,168.0,sensitivity,0.25
aki,ALP,Cohen_m2,503,88,0.1749502982107356,0.3436643661982369,0.0,0.4955363426631108,0.4211657847019878,0.2400958730164475,168.0,soc_rate,0.25
aki,ALP,Cohen_m3,4114,963,0.2340787554691298,0.6415581837330011,1.2767333111078836,1.313965474066152,0.949424405726192,1.6954894095482995,0.0,sensitivity,0.25
aki,ALP,Cohen_m3,3114,714,0.2292870905587668,0.8170196556620767,1.833140482529128,1.4170116529281611,0.6798599825061966,1.634354356776526,24.0,sensitivity,0.25
aki,ALP,Cohen_m3,3114,150,0.048169556840077,0.9296159386860776,2.1863581085312016,1.2622794934257655,0.6483871408019608,0.4518755008911095,24.0,soc_rate,0.25
aki,ALP,Cohen_m3,1581,408,0.2580645161290322,0.7000939904335008,1.5481695408064051,1.4038962236201191,0.897215600580977,2.6591498745025284,72.0,sensitivity,0.25
aki,ALP,Cohen_m3,1581,181,0.1144845034788108,0.1914206284383246,0.5517802027031369,0.574002206593316,0.2496891574576338,0.1849361340075573,72.0,soc_rate,0.25
aki,ALP,Cohen_m3,503,177,0.3518886679920477,0.533910602743238,0.87259439705157,0.3854504966709639,0.324541292746637,2.967826545159654,168.0,sensitivity,0.25
aki,ALP,Cohen_m3,503,88,0.1749502982107356,0.452161790312699,0.0,0.0,0.0,4.853644590411316,168.0,soc_rate,0.25
aki,ALP,Cohen_m4,4114,728,0.1769567331064657,0.0377147672428812,1.5826528955768668,1.618633916538879,1.3313225750630384,1.6749415393639726,0.0,sensitivity,0.25
aki,ALP,Cohen_m4,3114,659,0.2116249197174052,0.649570266441474,2.742611009210128,1.4041433836716568,0.7643620773943649,1.2550466481265528,24.0,sensitivity,0.25
aki,ALP,Cohen_m4,3114,150,0.048169556840077,0.7232313766310712,2.047154511162563,1.3392372782899271,1.0152219531263331,0.6981269745143699,24.0,soc_rate,0.25
aki,ALP,Cohen_m4,1581,337,0.2131562302340291,0.583255037908571,1.1511207219211856,1.292901054616881,0.7077407842889951,0.4945767130948624,72.0,sensitivity,0.25
aki,ALP,Cohen_m4,1581,181,0.1144845034788108,0.8122750682889196,2.4257975174056794,1.3701207855334685,0.5521932012885925,0.394914296565933,72.0,soc_rate,0.25
aki,ALP,Cohen_m4,503,204,0.4055666003976143,0.2772771754798167,0.3129013207507615,0.4385210262790776,0.3647143877440724,1.7745241417479618,168.0,sensitivity,0.25
aki,ALP,Cohen_m4,503,88,0.1749502982107356,0.0998884441610759,0.0,0.0,0.0,0.0,168.0,soc_rate,0.25
aki,ALP,Gaussian_eb,4114,708,0.1720952843947496,0.0345032770891504,1.668220289229866,1.3174132483846148,1.4742044539809556,1.2448185066578443,0.0,sensitivity,0.25
aki,ALP,Gaussian_eb,3114,521,0.1673089274245343,0.1190594235882384,1.4853386495052423,1.7196294995706984,1.3843046685731497,1.2402558237378738,24.0,sensitivity,0.25
aki,ALP,Gaussian_eb,3114,150,0.048169556840077,0.294180125232104,2.1278036557284548,1.6837878633835195,1.2429447455967193,1.2110229979327023,24.0,soc_rate,0.25
aki,ALP,Gaussian_eb,1581,254,0.1606578115117014,0.2177650177038917,2.177381009230621,0.8082659054932195,1.3269018612578256,1.184799628505154,72.0,sensitivity,0.25
aki,ALP,Gaussian_eb,1581,181,0.1144845034788108,0.2792781806808414,1.051653945047616,0.4461879928537988,1.5415547752100731,1.476667536616216,72.0,soc_rate,0.25
aki,ALP,Gaussian_eb,503,62,0.1232604373757455,0.2057527341185063,1.244093971100229,1.5169568943049214,2.697242232986026,1.4271613949679829,168.0,sensitivity,0.25
aki,ALP,Gaussian_eb,503,88,0.1749502982107356,0.5336330796930289,0.8224141719792134,0.9981807556897386,1.7797562873948,0.962290986642534,168.0,soc_rate,0.25
aki,ALP,Gaussian_mle,4114,704,0.1711229946524064,0.0188589246570043,1.877204808411736,1.550457939751542,1.1872389213905048,1.3094088042383902,0.0,sensitivity,0.25
aki,ALP,Gaussian_mle,3114,546,0.1753371868978805,0.0599120208293434,1.925545616798895,1.7555899785982991,1.2873232974286408,1.4583244689905044,24.0,sensitivity,0.25
aki,ALP,Gaussian_mle,3114,150,0.048169556840077,0.918613747147726,2.0903803830409133,0.9208310947172196,0.4755339352118352,0.7498006445091597,24.0,soc_rate,0.25
aki,ALP,Gaussian_mle,1581,351,0.222011385199241,0.333253205748434,2.026692781168874,0.7037923902076308,1.4216044201441873,1.2410221618558344,72.0,sensitivity,0.25
aki,ALP,Gaussian_mle,1581,181,0.1144845034788108,0.5088032733798251,0.4653112390656667,0.2060934759405446,0.9083562144797872,0.6441528257335661,72.0,soc_rate,0.25
aki,ALP,Gaussian_mle,503,83,0.1650099403578528,0.4152924005038547,0.8831140201109899,1.106338069887282,2.0781215096531387,1.123315912075356,168.0,sensitivity,0.25
aki,ALP,Gaussian_mle,503,88,0.1749502982107356,0.4815383675333867,0.8234247182725551,1.0302868044960054,1.9057024715008712,1.0363790687588783,168.0,soc_rate,0.25
aki,ALP,Gaussian_trunc,4114,758,0.1842489061740398,0.0529103864336426,1.4616361396247284,1.727585414548214,1.0770321208420184,1.1852823614295596,0.0,sensitivity,0.25
