Dataset,Outcome,Subset,Method,N,Events,NRI,NRI (events),NRI (non-events),SE,p-value
eICU-CRD,Acute Kidney Injury,swap,NORMA | sex,"1,657",238,-0.0013,0.4202,-0.4214,0.0351,0.98
eICU-CRD,Acute Kidney Injury,swap,"NORMA | sex, age","1,657",238,-0.0538,0.3782,-0.4320,0.0338,0.11
eICU-CRD,Acute Kidney Injury,swap,"NORMA | sex, age, setting, analytes","1,657",238,-0.0453,0.5798,-0.6251,0.0336,0.19
eICU-CRD,Sepsis,swap,Per$_{RI}$,"1,655",364,0.0051,0.9478,-0.9427,0.0132,0.71
eICU-CRD,Sepsis,swap,Cohen,"1,655",364,0.0250,0.9011,-0.8761,0.0184,0.17
eICU-CRD,Sepsis,swap,Gaussian,"1,655",364,-0.0093,0.7335,-0.7428,0.0265,0.73
eICU-CRD,Sepsis,swap,Trunc. Gaussian,"1,655",364,-0.0019,0.9725,-0.9744,0.0098,0.80
eICU-CRD,Sepsis,swap,Empirical Bayes,"1,655",364,0.0038,0.4615,-0.4578,0.0298,0.87
eICU-CRD,Sepsis,swap,NORMA$_{RI}$,"1,655",364,-0.0638,0.3352,-0.3989,0.0295,0.03
eICU-CRD,Sepsis,swap,NORMA | sex,"1,655",364,-0.0222,0.4038,-0.4260,0.0298,0.49
eICU-CRD,Sepsis,swap,"NORMA | sex, age","1,655",364,-0.0589,0.3764,-0.4353,0.0284,0.04
eICU-CRD,Sepsis,swap,"NORMA | sex, age, setting, analytes","1,655",364,-0.0084,0.5989,-0.6073,0.0300,0.82
eICU-CRD,Prolonged LOS (>7d),swap,Per$_{RI}$,"1,657",292,-0.0316,0.9178,-0.9495,0.0173,0.06
eICU-CRD,Prolonged LOS (>7d),swap,Cohen,"1,657",292,-0.0053,0.8767,-0.8821,0.0211,0.81
eICU-CRD,Prolonged LOS (>7d),swap,Gaussian,"1,657",292,-0.0530,0.6986,-0.7516,0.0284,0.06
eICU-CRD,Prolonged LOS (>7d),swap,Trunc. Gaussian,"1,657",292,-0.0032,0.9726,-0.9758,0.0101,0.73
eICU-CRD,Prolonged LOS (>7d),swap,Empirical Bayes,"1,657",292,0.0345,0.4932,-0.4586,0.0326,0.30
eICU-CRD,Prolonged LOS (>7d),swap,NORMA$_{RI}$,"1,657",292,-0.0458,0.3630,-0.4088,0.0310,0.14
eICU-CRD,Prolonged LOS (>7d),swap,NORMA | sex,"1,657",292,-0.0484,0.3904,-0.4388,0.0322,0.13
eICU-CRD,Prolonged LOS (>7d),swap,"NORMA | sex, age","1,657",292,-0.0418,0.4007,-0.4425,0.0310,0.17
eICU-CRD,Prolonged LOS (>7d),swap,"NORMA | sex, age, setting, analytes","1,657",292,-0.0119,0.6130,-0.6249,0.0308,0.68
