method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
Cohen_m3,all,RDW,43,0.4651,0.4878,0.8533,
Cohen_m3,all,TBIL,54,0.5741,1.0824,0.8786,
Cohen_m3,all,TC,24,0.6667,0.9316,0.7344,
Cohen_m3,all,TGL,28,0.6429,1.2663,0.6649,
Cohen_m3,all,TP,24,0.375,0.715,1.0,
Cohen_m3,all,WBC,59,0.9322,1.5302,0.6535,
Cohen_m4,high,A1C,29,0.1379,0.5596,0.3432,
Cohen_m4,high,GLU,33,0.1212,1.695,0.5281,
Cohen_m4,normal,ALB,28,0.6071,0.4852,1.0,
Cohen_m4,normal,ALP,31,0.4516,0.6866,1.0,
Cohen_m4,normal,ALT,24,0.625,1.1343,0.4905,
Cohen_m4,normal,HDL,30,0.6333,0.5537,1.0,
Cohen_m4,normal,K,22,0.8636,0.9135,0.883,
Cohen_m4,normal,LDL,24,0.875,0.6109,0.9009,
Cohen_m4,normal,MCHC,22,0.9545,1.1804,0.5635,
Cohen_m4,normal,PLT,33,0.5152,0.5488,1.0,
Cohen_m4,normal,RBC,25,0.6,0.7267,0.8779,
Cohen_m4,normal,RDW,28,0.5357,0.4565,0.7743,
Cohen_m4,normal,TBIL,32,0.8438,1.0097,0.8571,
Cohen_m4,normal,WBC,47,0.9574,1.5317,0.6529,
Cohen_m4,all,A1C,46,0.1522,0.5596,0.3379,
Cohen_m4,all,ALB,39,0.4359,0.4852,1.0,
Cohen_m4,all,ALP,34,0.4118,0.6866,1.0,
Cohen_m4,all,ALT,45,0.5778,1.1343,0.4932,
Cohen_m4,all,AST,26,0.6923,0.8738,0.9686,
Cohen_m4,all,BUN,28,0.6786,1.1526,0.7335,
Cohen_m4,all,CA,27,0.4444,0.8274,0.8579,
Cohen_m4,all,CL,33,0.5758,1.2355,0.8094,
Cohen_m4,all,CO2,38,0.6579,1.6746,0.5972,
Cohen_m4,all,CRE,27,0.6296,0.8504,0.8159,
Cohen_m4,all,DBIL,27,0.8889,1.9691,0.5079,
Cohen_m4,all,GLU,39,0.2051,1.695,0.5281,
Cohen_m4,all,HCT,22,0.5455,1.1935,0.6787,
Cohen_m4,all,HDL,37,0.5676,0.5537,1.0,
Cohen_m4,all,HGB,29,0.2759,0.8302,0.6036,
Cohen_m4,all,K,31,0.6129,0.9135,0.883,
Cohen_m4,all,LDL,37,0.7568,0.6109,0.8319,
Cohen_m4,all,MCH,35,0.4,0.8189,0.8233,
Cohen_m4,all,MCHC,44,0.7273,1.1804,0.6164,
Cohen_m4,all,MCV,28,0.25,0.522,1.0,
Cohen_m4,all,NA,25,0.72,0.9895,0.8621,
