dataset,target_state,analyte,method,n,mae,mape,rmse,r2,bias,n_analytes,n_targets
chs,normal,MCHC,NORMA_oracle,9.0,0.5442562188042532,1.6010499373767937,0.6012378010148004,-0.0968181647636732,-0.1306803046332463,,
chs,normal,MCHC,Mean,9.0,0.4920563664680226,1.4432234227173566,0.5940235876045916,-0.0706547783951399,-0.2486349110712661,,
chs,normal,MCHC,Last,9.0,1.0499992201063373,3.0719448088968164,1.29995256608091,-4.127398714362841,-0.7233333672417532,,
chs,normal,MCHC,ARIMA,9.0,1.2276477684665548,3.613948204214713,1.4016217042473078,-4.960788421668839,-0.3894932238175539,,
chs,normal,MCHC,PopRI,9.0,0.7144444444444452,2.132633812972654,0.8523366575349077,-1.2042680871148257,0.6300000000000002,,
chs,normal,MCHC,PerRI,9.0,0.4920555555555547,1.4432209926205557,0.5940251032854864,-0.0706602420605451,-0.2486333333333329,,
chs,normal,MCHC,Gaussian_mle,9.0,0.836841269841271,2.4922744597616906,1.017174184687886,-2.1392994059602084,0.6297301587301578,,
chs,normal,MCHC,Gaussian_trunc,9.0,4.159874331352386,12.413023395397502,6.667527192381946,-133.8874889590632,3.7690356535885,,
chs,normal,MCHC,Cohen_m2,9.0,0.6406209988064231,1.8705473981864915,0.8227884131972171,-1.054085009785024,-0.5588715955946179,,
chs,normal,MCHC,Cohen_m3,9.0,0.6888553025987407,2.016655119717144,0.821260643533305,-1.0464639611457869,-0.6128889804416231,,
chs,normal,MCHC,Cohen_m4,9.0,0.8290246412489147,2.427397711949464,0.975989872074662,-1.8902319713879103,-0.6671551683213974,,
chs,all_states,MCHC,NORMA_normal,19.0,1.3440765380859367,4.020249940476436,1.5907017187137025,0.0881763095608683,0.1865804732473273,,
chs,all_states,MCHC,NORMA_marginal,19.0,1.6607698647573192,4.840731252633459,2.072560560956172,-0.5479175714610349,-0.8153544330635519,,
chs,all_states,MCHC,NORMA_marginal_freq,19.0,1.5198292193268543,4.399747463759695,1.837336156547499,-0.216495800318295,-0.9835630774535412,,
chs,all_states,MCHC,NORMA_oracle,19.0,0.4576057956093232,1.3460376386480533,0.5344763540261291,0.8970585305588851,0.0370627112137644,,
chs,all_states,MCHC,Mean,19.0,1.369662768651568,4.0967041588693,1.6856270521511287,-0.023897201509506,0.1199316951047404,,
chs,all_states,MCHC,Last,19.0,1.825263041446083,5.378639557446762,2.333766052347728,-0.9626732678338888,-0.3578945802387438,,
chs,all_states,MCHC,ARIMA,19.0,2.179221540518568,6.4201615602719695,3.0057398021879176,-2.255638199637624,-0.2575539233355048,,
chs,all_states,MCHC,PopRI,19.0,1.563157894736842,4.737013404008564,1.8507210543603347,-0.2342845768855823,0.8063157894736842,,
chs,all_states,MCHC,PerRI,19.0,1.3696631578947362,4.096705974499745,1.685626296849802,-0.0238962839272445,0.1199368421052626,,
chs,all_states,MCHC,Gaussian_mle,19.0,1.5061002506265662,4.556271240814649,1.7705836551853589,-0.1297081777193023,0.7657142857142846,,
chs,all_states,MCHC,Gaussian_trunc,19.0,4.121386369180679,12.169056615853812,6.000375713575177,-11.974488938593597,2.271415650431797,,
chs,all_states,MCHC,Cohen_m2,19.0,1.301700881154913,3.849812654129909,1.5566661460547924,0.1267786769189999,-0.2270120158948396,,
chs,all_states,MCHC,Cohen_m3,19.0,1.365691624691611,4.050115848879853,1.5828961593217348,0.0971029758712553,-0.1913608591180098,,
chs,all_states,MCHC,Cohen_m4,19.0,1.4238304138183586,4.226504981708913,1.6093895185455864,0.0666259805383207,-0.2015318458958676,,
chs,normal,MCV,NORMA_normal,9.0,3.9404104275173606,4.368886323413891,4.443971591270613,-0.29642540282078,-1.0652180989583335,,
chs,normal,MCV,NORMA_marginal,9.0,6.846318941684372,7.595901283047343,7.477821388970413,-2.6707529756076007,-4.152525581590323,,
chs,normal,MCV,NORMA_marginal_freq,9.0,3.897018599630457,4.339325842709184,4.3741961677061445,-0.2560342896448064,-0.5498075759748278,,
chs,normal,MCV,NORMA_oracle,9.0,3.9404104275173606,4.368886323413891,4.443971591270613,-0.29642540282078,-1.0652180989583335,,
chs,normal,MCV,Mean,9.0,5.093669875816062,5.595027364748119,6.121699636437202,-1.4600787985439865,-3.234280642756709,,
chs,normal,MCV,Last,9.0,7.946666191948785,8.777827136254153,8.997268090024395,-4.314058203236751,-5.566665988498264,,
chs,normal,MCV,ARIMA,9.0,9.910591759447852,10.993847750829364,13.72559748740629,-11.367089443124977,-7.303164508770657,,
chs,normal,MCV,PopRI,9.0,3.0088888888888885,3.310197918602838,3.995661536105268,-0.0480508877460266,-0.8555555555555558,,
chs,normal,MCV,PerRI,9.0,5.093677777777777,5.595036113158074,6.121704637780414,-1.4600828182457537,-3.2343,,
chs,normal,MCV,Gaussian_mle,9.0,4.380041005291004,4.83893619521132,4.92966458738779,-0.5952903066842545,-1.7241706349206316,,
chs,normal,MCV,Gaussian_trunc,9.0,13.621241368456817,15.25444027668262,22.61876664226689,-32.58480447430299,-9.451855129744208,,
chs,normal,MCV,Cohen_m2,9.0,5.023730706108942,5.518505345419977,6.188482081524787,-1.5140462318926784,-3.233794657389323,,
chs,normal,MCV,Cohen_m3,9.0,4.197211269802518,4.621444991505492,5.108304920412437,-0.7130049188359828,-1.8537287394205733,,
chs,normal,MCV,Cohen_m4,9.0,5.544182569715712,6.10997894696966,6.075295676333639,-1.4229241732395643,-3.4083094278971355,,
chs,all_states,MCV,NORMA_normal,15.0,7.365788675944009,8.910828315645126,8.871218482297422,-0.4842899943404766,3.3442932332356774,,
chs,all_states,MCV,NORMA_marginal,15.0,9.164580275721578,10.921624685365575,10.102729079312954,-0.924995076268084,1.5718557606171126,,
chs,all_states,MCV,NORMA_marginal_freq,15.0,7.519202264282714,9.1353627933107,9.157668932171775,-0.581692615612625,3.9132191526842974,,
chs,all_states,MCV,NORMA_oracle,15.0,4.333485229492187,5.070318070810997,5.325081634433454,0.4651835594377487,-2.0475672200520827,,
chs,all_states,MCV,Mean,15.0,7.882925595116992,9.368500926619122,9.290433557473373,-0.6278866917825772,1.36837756723071,,
chs,all_states,MCV,Last,15.0,8.739999593098958,10.233232272320604,9.693638759679516,-0.7722536199596839,-0.354666625976562,,
chs,all_states,MCV,ARIMA,15.0,10.858455307000357,12.768711792426924,13.423833795307951,-2.3986413896625782,-0.6468147746598523,,
chs,all_states,MCV,PopRI,15.0,6.215999999999999,7.458562993208555,7.684163801828624,-0.1136415790289691,2.454666666666667,,
chs,all_states,MCV,PerRI,15.0,7.882926666666666,9.368501971183155,9.290431758212318,-0.6278860612430384,1.368366666666668,,
chs,all_states,MCV,Gaussian_mle,15.0,7.389792063492061,8.867709309266726,8.693713167895227,-0.4254855658381706,2.488598412698414,,
chs,all_states,MCV,Gaussian_trunc,15.0,24.208614475571,29.584070846087,35.65839348169072,-22.98146749555276,2.0639856966611005,,
chs,all_states,MCV,Cohen_m2,15.0,8.017037658691406,9.564319122435707,9.60385780994751,-0.7395769812080273,1.6386963094075526,,
chs,all_states,MCV,Cohen_m3,15.0,7.590482279459636,9.11859891493131,9.263242092827586,-0.618371560810344,2.5807485148111984,,
chs,all_states,MCV,Cohen_m4,15.0,8.014351094563802,9.54005621125312,9.1324653874564,-0.5729983935203538,1.51598817952474,,
chs,normal,MPV,NORMA_normal,9.0,1.7394323306613502,19.05945307567326,2.0880772549736086,-1.4857393577956373,0.4434641011555992,,
chs,normal,MPV,NORMA_marginal,9.0,1.681063786332799,18.264090624019712,2.018467700127057,-1.3227692693445152,0.3527481912989368,,
chs,normal,MPV,NORMA_marginal_freq,9.0,1.7357723766166862,19.017754896944165,2.085611357331921,-1.479871797610469,0.4419821317188199,,
chs,normal,MPV,NORMA_oracle,9.0,1.7394323306613502,19.05945307567326,2.0880772549736086,-1.4857393577956373,0.4434641011555992,,
chs,normal,MPV,Mean,9.0,1.3206036613861758,14.253581213033398,1.6692851915510536,-0.5886328720511511,0.0927465386621576,,
chs,normal,MPV,Last,9.0,1.9511110708448625,20.61913255094076,2.39571843341796,-2.2721560889668435,0.1288888528611927,,
chs,normal,MPV,ARIMA,9.0,1.820013688813025,19.67435835510108,2.05054752929699,-1.3971882685986654,0.509680701383476,,
chs,normal,MPV,PopRI,9.0,1.301111111111111,14.71998290432113,1.461867147026554,-0.2183674158869231,0.6188888888888892,,
chs,normal,MPV,PerRI,9.0,1.3206,14.253532632631387,1.6692839635937051,-0.5886305347960177,0.0927333333333335,,
chs,normal,MPV,Gaussian_mle,9.0,1.2856693121693126,14.152889105251148,1.6671397968844,-0.5845520183535946,0.2471137566137565,,
chs,normal,MPV,Gaussian_trunc,9.0,5.719903268939563,62.45044398222576,9.340411173241383,-48.73870258509992,-0.9051723297088698,,
chs,all_states,MPV,NORMA_normal,12.0,1.839033686319987,18.47543878372987,2.1347983166585087,-0.3099449139299528,-0.201861362457275,,
chs,all_states,MPV,NORMA_marginal,12.0,1.7955571680495572,17.881266326249374,2.084278482444429,-0.2486790337537121,-0.2701981848257557,,
chs,all_states,MPV,NORMA_marginal_freq,12.0,1.8368636136035204,18.44866894280324,2.1335487745529744,-0.3084118864047651,-0.2035477323518912,,
chs,all_states,MPV,NORMA_oracle,12.0,1.4888255564371746,15.738509869079603,1.857250233464892,0.0085286415241527,0.1752696228027347,,
chs,all_states,MPV,Mean,12.0,1.8541630586275064,17.446011878277,2.266310007526469,-0.4763113637960432,-0.7941504085912561,,
chs,all_states,MPV,Last,12.0,1.9424999761581416,19.203139565348483,2.40161230217236,-0.657849599731428,-0.3825000333786008,,
chs,all_states,MPV,ARIMA,12.0,2.1316071153530234,20.756001477635504,2.359277945066692,-0.5999173401009215,-0.3843363227056475,,
chs,all_states,MPV,PopRI,12.0,1.67,16.47225727482915,1.8793482912967463,-0.0152053002974947,-0.2299999999999996,,
chs,all_states,MPV,PerRI,12.0,1.854166666666666,17.446025386987284,2.266318064982642,-0.4763218613318767,-0.7941666666666664,,
chs,all_states,MPV,Gaussian_mle,12.0,1.7632053571428574,16.86595217134301,2.1638452916300865,-0.3458347669937751,-0.6136180555555555,,
chs,all_states,MPV,Gaussian_trunc,12.0,6.595389982831949,64.80961216495996,10.119276038658429,-28.43324975110061,-2.9843417784089303,,
chs,normal,NA,NORMA_normal,8.0,1.2362690734863264,0.8838746856000385,1.5135109798289177,0.3105238724829369,-0.0477349853515605,,
chs,normal,NA,NORMA_marginal,8.0,1.692999832756783,1.198158201709444,2.288099103025906,-0.5757878356814214,-0.9863520312105578,,
chs,normal,NA,NORMA_marginal_freq,8.0,1.3849677840673174,0.986421299114762,1.641760626582946,0.1887256335787299,-0.4969295442928363,,
chs,normal,NA,NORMA_oracle,8.0,1.2362690734863264,0.8838746856000385,1.5135109798289177,0.3105238724829369,-0.0477349853515605,,
chs,normal,NA,Mean,8.0,1.3888322226206498,0.9906248508219416,1.632582348416971,0.1977711520699879,-0.710082604090374,,
chs,normal,NA,Last,8.0,3.1262488555908163,2.2278331669056177,3.8444881778186,-3.448618272750716,-1.0862462615966777,,
chs,normal,NA,ARIMA,8.0,2.851785456407196,2.0270823511284104,3.483151589876885,-2.651681013141668,-1.9147897546778587,,
chs,normal,NA,PopRI,8.0,1.4549999999999983,1.0372980839741672,1.8411952639521965,-0.0203467372983381,-0.259999999999998,,
chs,normal,NA,PerRI,8.0,1.4628124999999983,1.042911505836717,1.6965697683119314,0.1336536904797733,-0.7840624999999974,,
chs,normal,NA,Gaussian_mle,8.0,1.3153958333333264,0.9421793042222284,1.6776401053016865,0.1528785447517898,-0.2260208333333295,,
chs,normal,NA,Gaussian_trunc,8.0,16.54737091716039,11.734327325627923,21.9017248633618,-143.37922946978097,7.423090053484348,,
chs,normal,NA,Cohen_m2,8.0,1.6604312133789063,1.1857556010984611,1.8589206151806497,-0.0400872422175553,-0.8842485046386699,,
chs,normal,NA,Cohen_m3,8.0,1.0381410217285136,0.7385105797712653,1.303375930547473,0.4886862459876923,-0.6590821838378886,,
chs,normal,NA,Cohen_m4,8.0,1.3374102783203128,0.9518166722910136,1.6023033054248172,0.2272526238335855,-0.770955810546873,,
chs,all_states,NA,NORMA_normal,12.0,3.177919158935547,2.18770328885592,4.2671695581147135,-0.5717469151575925,-2.3855631001790365,,
chs,all_states,NA,NORMA_marginal,12.0,3.388516992680749,2.333718918707183,4.346070455353446,-0.6304081644254498,-2.917418458316599,,
chs,all_states,NA,NORMA_marginal_freq,12.0,3.428488147093617,2.3589327551545978,4.547029349062243,-0.7846716762709387,-2.8364626539106297,,
chs,all_states,NA,NORMA_oracle,12.0,1.3254106140136723,0.929474534618846,1.599017657585969,0.7792964414715692,-0.5330545552571616,,
chs,all_states,NA,Mean,12.0,3.182969232488567,2.192882738280316,4.200529079373787,-0.5230382399124052,-2.7304694868017165,,
chs,all_states,NA,Last,12.0,4.590831807454426,3.1887229433002235,5.688628471462512,-1.7933024199763996,-3.2308300781250003,,
chs,all_states,NA,ARIMA,12.0,3.697017546047711,2.570550075980281,4.272480769990072,-0.5756619581103528,-3.07235374489482,,
chs,all_states,NA,PopRI,12.0,3.2183333333333337,2.218357759890689,4.177259867425058,-0.5062109604563929,-2.421666666666667,,
chs,all_states,NA,PerRI,12.0,3.2322916666666663,2.2277420359098588,4.2174030379093095,-0.535299220737679,-2.7797916666666658,,
chs,all_states,NA,Gaussian_mle,12.0,3.3388749999999967,2.299910934095766,4.503536465574502,-0.750693759459544,-2.612624999999999,,
chs,all_states,NA,Gaussian_trunc,12.0,15.116949077143548,10.597230453876977,19.679989639818064,-32.43124477454369,4.985024903286276,,
chs,all_states,NA,Cohen_m2,12.0,3.2191739908854182,2.224308328071986,4.128518044390833,-0.4712659721632739,-2.7017188517252606,,
chs,all_states,NA,Cohen_m3,12.0,3.1551655578613285,2.164807790737837,4.469543491309699,-0.7243648106848593,-2.902459665934245,,
chs,all_states,NA,Cohen_m4,12.0,3.5216413370768245,2.420299877029113,4.799172734126164,-0.9880878882045788,-3.1440050252278646,,
chs,normal,PLT,NORMA_normal,12.0,74.0908979288737,24.104410078489504,84.92538884571093,0.1154195489340095,-47.5509614054362,,
chs,normal,PLT,NORMA_marginal,12.0,74.78221893306359,24.221297730648924,86.05697394201785,0.0916893825958826,-49.51280367945825,,
chs,normal,PLT,NORMA_marginal_freq,12.0,77.85188292636393,24.75040417136929,91.43285627042076,-0.0253374571359559,-58.20124887358888,,
chs,normal,PLT,NORMA_oracle,12.0,74.0908979288737,24.104410078489504,84.92538884571093,0.1154195489340095,-47.5509614054362,,
chs,normal,PLT,Mean,12.0,83.17889529165366,31.189199288517333,98.22351419034167,-0.1832954249332066,7.326521270462043,,
chs,normal,PLT,Last,12.0,54.04916376749674,19.114527345732903,83.56317893722526,0.1435694402794486,-15.747503509521485,,
chs,normal,PLT,ARIMA,12.0,101.10235531463783,34.18924924472591,120.52444135283812,-0.7816094334855488,-4.887339525498599,,
chs,normal,PLT,PopRI,12.0,77.74083333333333,27.01391022015397,91.10241558268366,-0.017939657516208,-12.094166666666666,,
chs,normal,PLT,PerRI,12.0,83.1789,31.189200461172256,98.22351150290682,-0.1832953601823299,7.32651666666666,,
chs,normal,PLT,Gaussian_mle,12.0,79.22615972222222,29.713862009040405,95.59116774636664,-0.1207217058018643,-1.4027569444444314,,
chs,normal,PLT,Gaussian_trunc,12.0,398.96925634885935,162.74721262443242,622.8434673888493,-46.57952223876564,327.8582571042044,,
chs,normal,PLT,Cohen_m2,12.0,81.09514460245768,27.98761726407556,101.3256482988608,-0.2592183143116731,-25.213270416259764,,
chs,normal,PLT,Cohen_m3,12.0,80.73968663533529,28.285134974909283,97.3334978697274,-0.1619485840528103,-20.79275853474935,,
