subset,analyte,method,outcome,exposure,encoding,level,n,n_events,HR,HR_lower,HR_upper,p_value,p_fdr
all,ALB,PopRI,ckd,first,binary,abnormal,15375.0,2884.0,2.07,1.88,2.29,2.279103960257422e-47,1.1110631806254935e-46
all,ALB,PerRI,ckd,first,binary,abnormal,15375.0,2884.0,1.79,1.55,2.07,3.042177533312027e-15,5.048720161666767e-15
all,ALB,NORMA,ckd,first,binary,abnormal,15375.0,2884.0,2.0,1.78,2.26,5.223354373625571e-30,1.3580721371426484e-29
all,ALP,PopRI,ckd,first,binary,abnormal,24313.0,4394.0,1.52,1.41,1.64,1.745561684001047e-27,3.890108895773762e-27
all,ALP,PerRI,ckd,first,binary,abnormal,24313.0,4394.0,1.58,1.35,1.84,7.015898341115977e-09,8.971148698476167e-09
all,ALP,NORMA,ckd,first,binary,abnormal,24313.0,4394.0,1.91,1.72,2.12,7.172033189887168e-34,2.2376743552447964e-33
all,ALT,PopRI,ckd,first,binary,abnormal,30851.0,5356.0,1.71,1.58,1.85,1.5355248018964383e-40,5.98854672739611e-40
all,ALT,PerRI,ckd,first,binary,abnormal,30851.0,5356.0,1.49,1.29,1.72,5.5171201766308166e-08,6.94089312543877e-08
all,ALT,NORMA,ckd,first,binary,abnormal,30851.0,5356.0,1.75,1.6,1.9,2.5666379053740964e-37,8.704250287790413e-37
all,AST,PopRI,ckd,first,binary,abnormal,30902.0,5355.0,1.73,1.61,1.85,6.145584463184067e-54,3.68735067791044e-53
all,AST,PerRI,ckd,first,binary,abnormal,30902.0,5355.0,1.55,1.35,1.79,1.1315301074018863e-09,1.495921158938087e-09
all,AST,NORMA,ckd,first,binary,abnormal,30902.0,5355.0,1.8,1.66,1.96,9.673008914030933e-44,4.1916371960800695e-43
all,BUN,PopRI,ckd,first,binary,abnormal,32742.0,5715.0,6.85,5.76,8.15,1.003289782468186e-104,2.608553434417284e-103
all,BUN,PerRI,ckd,first,binary,abnormal,32742.0,5715.0,2.64,2.19,3.18,1.9254924845562227e-24,3.9523266788259316e-24
all,BUN,NORMA,ckd,first,binary,abnormal,32742.0,5715.0,7.04,5.86,8.47,8.540143014895414e-96,1.6653278879046058e-94
all,CA,PopRI,ckd,first,binary,abnormal,18423.0,3523.0,1.83,1.67,2.01,2.0281821728339616e-37,7.190827703684046e-37
all,CA,PerRI,ckd,first,binary,abnormal,18423.0,3523.0,1.67,1.47,1.89,1.2541546576811324e-15,2.126610071720181e-15
